date,PE_正数等权,PE_中位数,PB_中位数,stockCode,指数点位
2020-01-22,22.78441189436588,28.0164993728499,2.131204181431034,827,1376.56
2020-01-23,22.008294006578065,27.60635237224539,2.011311811530727,827,1329.23
2020-02-03,20.01447211598753,24.841287973314284,1.8190981282618848,827,1210.32
2020-02-04,20.25065113089872,25.538377965032296,1.8093951776853008,827,1233.74
2020-02-05,20.5614593483856,25.164030638039915,1.8608602829798688,827,1260.4
2020-02-06,21.017165495133074,25.57550380444556,1.929031524620044,827,1290.58
2020-02-07,21.37940332894584,25.995840266561267,1.9407260991240385,827,1306.13
2020-02-10,21.646279491850084,26.15098535858104,1.9515616536826488,827,1329.29
2020-02-11,21.509482723058504,26.54361141539055,1.938497369558108,827,1318.74
2020-02-12,22.044951078717933,28.05788367732508,2.000839712719162,827,1364.11
2020-02-13,21.901842034912004,27.964179892305683,1.979530242795128,827,1358.67
2020-02-14,21.820662174052345,27.31218663494879,1.9663244103307125,827,1348.71
2020-02-17,22.44442367423464,28.25322505986608,2.031848820057805,827,1392.16
2020-02-18,22.71224619856479,29.69736597688228,2.061037648688669,827,1415.34
2020-02-19,22.612128809897243,29.548297558546484,2.092073046844049,827,1400.1
2020-02-20,22.948248909719105,29.792533796973245,2.144771479871745,827,1426.1
2020-02-21,23.04989383720246,30.002462034532336,2.1402363717134536,827,1434.96
2020-02-24,23.036804044255245,29.77487973812402,2.163984837077553,827,1441.81
2020-02-25,22.766356187883268,29.30272655159213,2.129064351781711,827,1448.25
2020-02-26,22.52854281212298,28.76517691463789,2.118855534275704,827,1401.09
2020-02-27,22.81716448013741,29.09741855515648,2.129325491360416,827,1405.26
2020-02-28,21.78730844818288,27.64228086331768,2.005082423315544,827,1327.29
2020-03-02,22.67004738317475,28.429310315226505,2.0841860960034992,827,1377.16
2020-03-03,22.865925665166912,28.813476388081188,2.129548362059224,827,1396.75
2020-03-04,23.038436676488924,28.783697051408115,2.1442981328259934,827,1403.92
2020-03-05,23.51627592432293,30.19228555694425,2.2045924360822333,827,1426.94
2020-03-06,23.263821545786367,29.755584583490645,2.1372344718921585,827,1421.19
2020-03-09,22.365113142571182,27.924216965252107,2.044751221886055,827,1361.8
2020-03-10,22.8010738727932,28.85029487465723,2.083255189815301,827,1392.73
2020-03-11,22.58044884348856,28.77400946052783,2.0467058067259902,827,1375.77
2020-03-12,22.14321600379252,28.083090209606866,2.041847180659061,827,1346.05
2020-03-13,21.91476974586616,27.630780735578377,2.013492511182588,827,1332.09
2020-03-16,21.001687447519902,26.76996370409657,1.8896356176545408,827,1263.25
2020-03-17,21.01372045768092,26.86306690290808,1.879079783052384,827,1256.84
2020-03-18,20.64211543409353,26.49845032187583,1.8238326752292344,827,1235.02
2020-03-19,20.63773415281682,26.4618525056503,1.830408504997832,827,1237.34
2020-03-20,20.84004245456881,26.863780878829203,1.821896158977081,827,1242.48
2020-03-23,20.02521840431376,25.21892256944954,1.7169475796320726,827,1181.18
2020-03-24,20.34138235162405,25.720032158739308,1.7636846136654718,827,1201.97
2020-03-25,20.81143762271202,26.428841488213465,1.8207441723619109,827,1234.36
2020-03-26,20.676733614735028,25.91171864527662,1.8115626076929567,827,1208.57
2020-03-27,20.732978627537804,25.5154040405342,1.822434027620285,827,1207.03
2020-03-30,20.62044019643932,24.94501647503754,1.777388869559482,827,1184.65
2020-03-31,21.12756101128825,24.820196326464128,1.7778113333740757,827,1182.94
2020-04-01,21.02743563721448,24.97564953673292,1.769419412262161,827,1187.36
2020-04-02,21.402061623647707,25.63193784455366,1.7731686531948387,827,1217.59
2020-04-03,21.17001536643821,25.02703798721314,1.7646196651705006,827,1201.65
2020-04-07,21.69156246942044,26.151103897857134,1.7820765681971549,827,1235.82
2020-04-08,21.693011625297256,26.26015641947189,1.7699586200467303,827,1234.5
2020-04-09,21.71133994544281,26.01693729732472,1.7831877935015088,827,1235.26
2020-04-10,21.390951815888634,25.160869703960824,1.7881319836877347,827,1210.72
2020-04-13,21.18339157129552,24.86527760650464,1.7739183996610264,827,1193.33
2020-04-14,21.574243251055947,25.64422192650632,1.8064838965701069,827,1226.49
2020-04-15,21.465335133694467,25.627430089324143,1.7909849668482405,827,1222.85
2020-04-16,21.551485966620547,25.514631693949696,1.7972787583323662,827,1233.81
2020-04-17,21.63785794431301,25.81695793438225,1.81086859445465,827,1237.78
2020-04-20,21.698198486581628,25.96545220771789,1.812499161797381,827,1241.8
2020-04-21,21.46150812599401,25.14333411690352,1.7864359816502455,827,1226.6
2020-04-22,21.719209486431044,25.28084716182482,1.8281074397966708,827,1239.82
2020-04-23,21.44254692319623,24.94690584840273,1.8072095293723045,827,1227.99
2020-04-24,21.25671047167861,24.77474797447774,1.7839642515332153,827,1213.72
2020-04-27,21.96589887222058,26.036974360226107,1.7778337877507653,827,1213.16
2020-04-28,21.175295239340773,24.78881851800842,1.760860774022753,827,1204.23
2020-04-29,21.812639751559363,25.74727952620227,1.7912479920849096,827,1207.72
2020-04-30,21.8154911120101,28.164140921250016,1.784075442429966,827,1246.82
2020-05-06,22.08773528572753,28.01357562505111,1.8273652509387976,827,1269.88
2020-05-07,21.98585372109036,28.218937668916222,1.8057225890605693,827,1264.52
