date,PE_正数等权,PE_中位数,PB_中位数,stockCode,指数点位
2021-12-10,12.309030654259152,18.13707189859605,2.606504418548709,16,3353.63
2021-12-13,12.876769749901737,17.92842473149793,2.9614485168372395,16,3366.07
2021-12-14,12.688518244185486,18.04974764056843,2.970699835110205,16,3350.5
2021-12-15,12.6845798739498,18.0757485438718,2.9744510052230027,16,3318.98
2021-12-16,12.816120551355096,18.20532426976738,3.005268769964606,16,3330.86
2021-12-17,12.73252548307143,18.112481656438536,2.9749961515746035,16,3278.9
2021-12-20,12.702310477087329,18.003388478545087,2.93884207771068,16,3255.35
2021-12-21,12.822346725232087,18.07814107554226,2.972247948346244,16,3273.03
2021-12-22,12.72822027505322,17.930904123936216,2.959634250681132,16,3260.57
2021-12-23,12.798443341846273,17.92299323696453,2.9924367577525874,16,3287.19
2021-12-24,12.715356064469663,17.82082907551815,2.992850915376043,16,3290.24
2021-12-27,12.740946919475396,17.945744027354976,3.0014805740783244,16,3278.44
2021-12-28,12.808554310728637,17.961994591919577,3.0186525656641225,16,3303.4
2021-12-29,12.705177028521554,17.88258122086364,2.984425016917543,16,3240.85
2021-12-30,12.696971785876244,18.04183675359674,2.988648561866305,16,3261.79
2021-12-31,12.750036619364232,18.078998656784712,2.9771630627053427,16,3274.32
2022-01-04,12.832214848492024,18.233717704741213,2.9862214333342068,16,3264.07
2022-01-05,12.875116973481424,18.0470506075589,3.0015106707477672,16,3254.28
2022-01-06,12.773695947504208,17.82972183301446,2.990593190779844,16,3210.39
2022-01-07,12.947022322317384,17.677221822350816,2.997994929172452,16,3223.27
2022-01-10,12.984525243166958,17.742806355994816,3.0363028964271344,16,3236.12
2022-01-11,12.935301292846049,17.81489111546466,3.045756175439873,16,3214.53
2022-01-12,12.935697469233034,18.19428755916494,3.036840595105269,16,3236.31
2022-01-13,12.848410666388762,18.256039704510428,3.016200964264535,16,3184.11
2022-01-14,12.601669055595778,17.72712888094685,2.999359309700181,16,3139.05
2022-01-17,12.572769636606337,17.935136107373758,3.013005098289661,16,3147.7
2022-01-18,12.822473776660242,18.06569370379397,3.032590065089747,16,3187.52
2022-01-19,12.857274482022108,18.04153225225768,3.041396317628996,16,3187.19
2022-01-20,12.981855252591826,18.04153225225768,3.080632142655344,16,3233.7
2022-01-21,12.835980332903064,18.017370800721388,3.020420020094444,16,3218.74
2022-01-24,12.836464968947771,17.94488644611252,2.9835605366325164,16,3209.74
2022-01-25,12.54680417827804,17.582464673068174,2.894843495526018,16,3144.95
2022-01-26,12.639895468385948,17.558303221531887,2.899870018793891,16,3163.67
2022-01-27,12.458647260714873,16.81292120466632,2.8000624425742218,16,3119.24
