date,PE_正数等权,PE_中位数,PB_中位数,stockCode,指数点位
2015-11-03,50.46786111994496,59.9776291460068,5.64505236952901,991,10120.36
2015-11-04,52.923216346387605,62.922339053128944,5.989741947234648,991,10640.07
2015-11-05,52.73775620130048,62.36673341027571,5.905199445497206,991,10592.06
2015-11-06,53.74422184692272,62.97153941452358,6.037812091686019,991,10772.24
2015-11-09,54.42782308679835,63.48996866665792,6.200216906897878,991,10922.31
2015-11-10,54.41526816264782,65.21444583855548,6.146966021631485,991,10910.83
2015-11-11,55.36001059709337,66.21142217205286,6.309016376763793,991,11127.93
2015-11-12,55.558552262804085,66.37351198807025,6.457039277027032,991,11169.64
2015-11-13,54.215084946198616,64.09077163985188,6.197582808731026,991,10882.98
2015-11-16,55.06231859651228,64.9347403457441,6.251432264415103,991,11053.04
2015-11-17,54.54810067869665,64.4423181966578,6.200216906897878,991,10946.35
2015-11-18,53.631936769790464,63.98926974833455,6.178181021326014,991,10751.67
2015-11-19,54.74204729924807,65.21444583855548,6.236746049228536,991,10967.42
2015-11-20,55.06242743196391,65.98076811436584,6.286100422754751,991,11025.81
2015-11-23,54.80259743234099,65.21444583855548,6.324863340347934,991,10997.22
2015-11-24,55.15723883617121,66.42651267664326,6.286100422754751,991,11053.37
2015-11-25,56.135504907763,68.5403070833239,6.508154879246867,991,11248.52
2015-11-26,55.552762335805504,66.71033336153093,6.482030825541911,991,11123.66
2015-11-27,52.31846867677804,62.09827058836052,5.931264140913024,991,10499.42
2015-11-30,52.49422111095613,62.41649693637163,6.00490732976056,991,10522.46
2015-12-01,53.06353689928192,62.67971506952495,5.935111810776212,991,10633.96
2015-12-02,53.0904619755222,62.51507307410095,5.962683433007325,991,10645.23
2015-12-03,54.28197998779824,63.27478126188871,6.123270925933752,991,10834.37
2015-12-04,54.02956241472501,62.81972290349841,6.076505968206653,991,10784.29
2015-12-07,54.98347821363004,63.48996866665792,6.125803139429879,991,10972.22
2015-12-08,53.77314912160356,62.41649693637163,6.1071079111305,991,10742.82
2015-12-09,53.428757612030616,61.57497055531254,5.93386546222292,991,10673.42
2015-12-10,53.59158005696759,62.38899282894273,5.924624501859535,991,10708.49
2015-12-11,53.20465314563687,61.31332053878855,5.921380526884873,991,10622.11
2015-12-14,56.51646590911856,66.5648639274197,6.717406515776939,991,10774.63
2015-12-15,56.96590386627212,66.44705000896408,6.782008683321156,991,10860.29
2015-12-16,57.2476367869846,67.68409615274798,6.795839674860494,991,10894.3
2015-12-17,58.58039157631231,69.62802580726554,7.038704518360015,991,11124.04
2015-12-18,58.94642073363694,69.62802580726554,6.98607413608063,991,11194.0
2015-12-21,60.41927597538,70.97183828243615,6.964114261233863,991,11471.29
2015-12-22,60.359553979750686,70.44736776794528,6.998593982202639,991,11479.04
2015-12-23,60.39830345397027,71.44358341394549,6.943524986102853,991,11449.72
2015-12-24,60.04936957644219,71.11195830425412,6.838279347755664,991,11391.16
2015-12-25,60.40543347327708,71.38931968409754,6.943524986102853,991,11454.53
2015-12-28,58.75344550232631,69.63405251260379,6.717727205539156,991,11176.71
2015-12-29,59.1507386119579,70.60253724852316,6.685183541462627,991,11244.38
2015-12-30,60.11049465382951,72.67663927121684,6.787247412324652,991,11323.71
2015-12-31,59.30722040578811,72.22922524533939,6.659909555565481,991,11200.78
2016-01-04,54.11800196861745,65.21444583855548,6.287131701756024,991,10265.08
2016-01-05,53.16953294768221,64.49771368096475,6.017752852184857,991,10093.63
2016-01-06,54.21985674635941,66.390942880644,6.140654558318014,991,10283.83
2016-01-07,49.51206591196377,60.55468330764721,5.539940594121972,991,9424.289
2016-01-08,50.3019270274504,60.70829057509002,5.516411222002812,991,9577.998
2016-01-11,46.58208506508429,57.833589639992034,5.138616072307639,991,8941.226
2016-01-12,47.24978314993144,57.905737331658685,5.188246768819596,991,9058.128
2016-01-13,45.791243546662265,55.49417536818076,4.991555120611027,991,8761.856
2016-01-14,47.67119793828616,58.06701966336986,5.249988807162146,991,9099.135
