date,PE_正数等权,PE_中位数,PB_中位数,stockCode,指数点位
2011-03-23,24.580903157938227,27.53329878331188,3.746512724335564,300,3264.926
2011-03-24,24.487855154153564,27.33970654472013,3.715934727252916,300,3251.361
2011-03-25,24.80510223531593,27.58135512881765,3.760077402936152,300,3294.484
2011-03-28,24.78702774068689,27.423818113543803,3.7618945107839,300,3290.571
2011-03-29,24.489091703231693,26.90768108058973,3.7006300379568806,300,3257.979
2011-03-30,24.1652815277064,26.68830481243945,3.648716262979668,300,3256.08
2011-03-31,23.737676020884027,26.085723805335267,3.586181204022381,300,3223.288
2011-04-01,24.09594155168428,26.76371046614048,3.6434828819606375,300,3272.729
2011-04-06,24.234401140990872,26.850490172002225,3.6372340649029415,300,3311.067
2011-04-07,24.31215208489264,27.03431503890646,3.678306869163854,300,3324.419
2011-04-08,24.41231131079549,27.09315185031768,3.685620560232249,300,3353.358
2011-04-11,24.165828952625017,26.741095872440688,3.6648519578652894,300,3333.427
2011-04-12,24.198610060984446,27.03398780678497,3.6182756693374873,300,3326.771
2011-04-13,24.471110742576226,27.039254600814417,3.655108868332456,300,3372.031
2011-04-14,24.321480416281524,27.004201409237336,3.6215547654691873,300,3353.56
2011-04-15,24.35590634073377,27.105022052595857,3.6275650680765503,300,3358.944
2011-04-18,24.367717382484784,27.1795351701391,3.6501577943269385,300,3359.438
2011-04-19,23.76311433621184,26.53852589913356,3.5411099807120383,300,3295.812
2011-04-20,23.596153580459656,26.97496864292928,3.5583263315862954,300,3295.758
2011-04-21,23.74515053980207,27.156180682976448,3.5597764836989336,300,3317.367
2011-04-22,23.592924955905687,26.17204522049883,3.552081346306213,300,3299.942
2011-04-25,23.12086519709474,25.77370599206851,3.426460313906736,300,3249.574
2011-04-26,23.01689193797992,25.579610149142496,3.396344576447364,300,3230.96
2011-04-27,22.7866824892184,24.995037623159583,3.368822419462852,300,3209.503
2011-04-28,22.324722098196823,24.23763052926633,3.280687961141421,300,3161.776
2011-04-29,22.243574321620063,24.366202114524924,3.3098621665370693,300,3192.723
2011-05-03,22.23109064813922,24.27322448494501,3.308588405308185,300,3211.132
2011-05-04,21.671741653883004,23.653055561921548,3.223356996753593,300,3129.028
2011-05-05,21.68568913121676,23.479557417342946,3.1850232094473587,300,3126.117
2011-05-06,21.64447036029346,23.59147541283921,3.194330216586484,300,3121.396
2011-05-09,21.72855144971309,23.84725668411796,3.220604689204116,300,3129.759
2011-05-10,21.853824051792408,24.21353515713419,3.2435530647066013,300,3153.221
2011-05-11,21.816877068636256,24.031685686428943,3.23898242545488,300,3145.085
2011-05-12,21.510974807037776,23.501494473755265,3.167564742940974,300,3101.603
2011-05-13,21.712820138045668,23.775357172278376,3.222110978006468,300,3128.093
2011-05-16,21.54898729759899,23.69665692017449,3.2048739807741544,300,3100.463
2011-05-17,21.63918138355839,23.65538456475992,3.2484142284293025,300,3116.028
2011-05-18,21.765239979278626,23.691614384931377,3.283365107076035,300,3139.379
2011-05-19,21.590119547707445,23.56853138901348,3.2393582107058867,300,3120.639
2011-05-20,21.56361095806709,23.52781784423368,3.224189915773831,300,3121.596
2011-05-23,20.830226679053435,22.753230202404303,3.105202746882921,300,3022.98
2011-05-24,20.833419602717804,22.95633942383794,3.123331129864807,300,3026.223
2011-05-25,20.56388674520495,22.66143118931201,3.066068216520878,300,2990.343
2011-05-26,20.450598319459186,22.41200407355064,3.052440588473746,300,2978.381
2011-05-27,20.30850426215673,22.490078611842435,3.0380564463568867,300,2963.308
2011-05-30,20.148210992378733,22.189634261945223,2.969744361317217,300,2954.506
2011-05-31,20.48789643122926,22.704227772997548,3.0507005188452863,300,3001.556
2011-06-01,20.5382002045024,22.8389016180199,3.059720408543318,300,3004.173
2011-06-02,20.18864808580355,22.63646632553349,3.018266946112995,300,2955.705
2011-06-03,20.440189888768003,22.99422589170704,3.047952068289346,300,2986.349
2011-06-07,20.530546396531367,23.081514155396054,3.0720289593564214,300,3004.262
