日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PE-TTM正数等权,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2025-09-26,=3151.5300,=3490.3100,=8646513412338.0107,=7247944954128,=5012646678725.0713,=42.1298,=0.6738,=48.5534,=36.4623,=29.9606
2025-09-25,=3235.7600,=3583.4900,=8863516464124.3984,=7446845616221,=5145878879468.1299,=42.7972,=0.6835,=48.5534,=36.4617,=29.9606
2025-09-24,=3185.5700,=3527.7700,=8732704940617.9619,=7330905366855,=5066750680322.1611,=42.6110,=0.6815,=48.6384,=36.4617,=29.9606
2025-09-23,=3114.5500,=3449.1200,=8539102393759.9502,=7173012035582,=4955841273761.7197,=41.4462,=0.6605,=48.6592,=36.4617,=29.9606
2025-09-22,=3107.8900,=3441.5900,=8545115084015.6904,=7167210085507,=4945575797830.1777,=41.5343,=0.6613,=48.7372,=36.4617,=29.9606
2025-09-19,=3091,=3422.8900,=8496538079863.6104,=7120238763950,=4919639497817.7793,=41.5370,=0.6610,=48.8380,=36.4623,=29.9606
2025-09-18,=3095.8500,=3428.1100,=8498919762636.8096,=7125033343286,=4926962103991.8789,=41.5994,=0.6630,=48.8380,=36.4617,=29.9606
2025-09-17,=3147.3500,=3485.1300,=8637641697592.8301,=7243800414489,=5008769099285.3203,=42.2745,=0.6745,=48.8467,=36.4617,=29.9606
2025-09-16,=3087.0400,=3417.9800,=8465396761362.4365,=7074344047060,=4914920692103.1494,=41.7126,=0.6658,=48.9047,=36.4617,=29.9606
2025-09-15,=3066.1800,=3394.8000,=8420075389268.3779,=7023851956454,=4882407220035.2441,=41.5841,=0.6617,=48.9683,=36.4617,=29.9606
2025-09-12,=3020.4200,=3344.1400,=8283980009694.3496,=6903294301949,=4812207468427.2109,=41.3033,=0.6561,=49.0795,=36.4623,=29.9606
2025-09-11,=3053.7500,=3381.0400,=8355842063332.9521,=6967412631211,=4865697925018.8135,=41.7036,=0.6642,=49.0795,=36.4617,=29.9606
2025-09-10,=2904.2700,=3215.5400,=7999289115979.0898,=6653009569274,=4627722547440.3203,=40.4131,=0.6379,=49.1321,=36.4617,=29.9606
2025-09-09,=2867.9700,=3175.1300,=7928691671858.4912,=6585090483713,=4569684262291.4902,=40.3446,=0.6354,=49.1335,=36.4617,=29.9606
2025-09-08,=2933.2500,=3247.4000,=8105749290920.3584,=6738524864733,=4673112680912.2100,=41.1158,=0.6527,=49.1730,=36.4617,=29.9606
2025-09-05,=2958.1800,=3275.0100,=8140590296769.9199,=6775043514926,=4712296489668.2188,=40.5903,=0.6413,=49.2330,=36.4623,=29.9606
2025-09-04,=2776.2500,=3073.0900,=7685654775013.4502,=6370600975134,=4424991594400.7197,=38.7974,=0.5905,=49.2330,=36.4617,=29.9606
2025-09-03,=2899.3700,=3209.3800,=7989986497287.6143,=6627067553315,=4620994555310.8604,=39.6373,=0.6151,=49.2330,=36.4615,=29.9606
2025-09-02,=2872.2200,=3179.2700,=7976623050552.9502,=6575486187734,=4578878197000.6699,=39.6729,=0.6161,=49.2330,=36.4613,=29.9606
2025-09-01,=2956.3700,=3272.4200,=8195910625533.7900,=6761371947632,=4713186427673.5410,=40.5683,=0.6396,=49.2494,=36.4613,=29.9606
2025-08-29,=2890.1300,=3199.0900,=8029093919448.0908,=6620125064816,=4606485722001.7715,=40.0235,=0.6262,=49.3160,=36.4615,=29.9606
2025-08-28,=2827.1700,=3129.3800,=7838494992044.5400,=6400319086420,=4509151619851.0615,=39.9577,=0.6244,=49.3160,=36.4613,=29.9606
