日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PE-TTM正数等权,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2010-04-29,=3020.6340,,=8329811562820,=3405446994917,=1071192208495.8500,=23.0152,=0.4661,=29.8050,=23.9354,=12.5045
2010-04-28,=3054.7600,,=8334430739081.0020,=3412525921435,=1083144309504.0416,=23.7303,=0.4798,=29.8050,=23.9397,=12.5045
2010-04-27,=3060.5340,,=8309088999123.8994,=3407589587972,=1081979061883.7548,=24.0832,=0.5064,=29.8050,=23.9439,=12.5045
2010-04-26,=3126.1640,,=8444267153942.4004,=3460978215804,=1103163271159.0374,=24.5785,=0.5352,=29.8050,=23.9397,=12.5045
2010-04-23,=3147.0130,,=8481714206710.2021,=3474113193445,=1110397868143.9238,=25.5434,=0.5748,=29.8050,=23.9354,=12.5045
2010-04-22,=3163.8510,,=8518168466484.4004,=3482818766757,=1113616270055.3247,=26.2667,=0.5953,=29.8278,=23.9310,=12.5044
2010-04-21,=3205.6290,,=8665122310304.0020,=3527665174826,=1128848531326.9778,=26.7820,=0.6159,=29.8278,=23.9267,=12.5044
2010-04-20,=3147.3080,,=8563313331010.9980,=3482390731386,=1107374418263.9043,=26.7719,=0.6151,=29.8278,=23.9073,=12.5044
2010-04-19,=3143.7210,,=8594179942625.2998,=3493085518112,=1106754903456.1045,=26.3895,=0.6013,=29.8278,=23.8880,=12.5044
2010-04-16,=3317.0180,,=9010573381685.5000,=3647423540424,=1167880596766.1145,=27.7369,=0.6393,=29.8278,=23.8835,=12.5044
2010-04-15,=3353.2790,,=9120743224256.8008,=3688625221238,=1182681138661.5571,=28.1997,=0.6623,=29.8291,=23.8789,=12.4146
2010-04-14,=3364.3290,,=9087754006162.1992,=3691940027473,=1185823349415.2371,=28.4712,=0.7028,=29.8291,=23.8727,=12.4146
2010-04-13,=3354.0060,,=9123641112976.0996,=3702081452057,=1182397903187.7937,=28.3083,=0.6761,=29.8291,=23.8664,=12.4146
2010-04-12,=3317.9070,,=8991174843941.5996,=3658092859432,=1170195824580.1426,=28.3801,=0.6863,=29.8291,=23.8620,=12.4146
2010-04-09,=3344.6010,,=9065428708617.3008,=3686843343728,=1179173004826.5198,=28.4917,=0.7031,=29.8291,=23.8575,=12.4146
2010-04-08,=3318.0160,,=9026992873709.0996,=3672382648539,=1170196061181.1968,=28.2644,=0.6740,=29.8474,=23.8283,=12.2145
2010-04-07,=3356.1290,,=9106179695547,=3698019045280,=1182586312952.2085,=28.3415,=0.6842,=29.8474,=23.7990,=12.2145
2010-04-06,=3369.9050,,=9146898728555.8008,=3715000364366,=1167779699777.8799,=28.4699,=0.7011,=29.8474,=23.7846,=12.2145
2010-04-02,=3359.0720,,=9132330031233.5020,=3711057058583,=1164212272909.1699,=28.4594,=0.6982,=29.8474,=23.7702,=12.2145
2010-04-01,=3337,,=9111648557703.1992,=3704679378094,=1156982264819.8701,=28.4168,=0.6932,=29.8474,=23.7613,=12.2145
2010-03-31,=3291.2800,,=9032380196678,=3666167279050,=1141239338017.7400,=28.0088,=0.6659,=29.8636,=23.7525,=12.1723
2010-03-30,=3314.9840,,=9112287572285.9980,=3701754481246,=1150227004466.5500,=28.5896,=0.7029,=29.8636,=23.7411,=12.1723
