日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PE-TTM正数等权,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2022-01-11,=846.0400,=1035.6500,=3656673445259.5698,=2716164937420,=1709434874863.0237,=21.8714,=0.1440,=35.7855,=29.4657,=22.7090
2022-01-10,=845.7700,=1035.3300,=3657083017141.8291,=2716354890920,=1709052102716.3823,=21.8425,=0.1426,=35.7855,=29.4659,=22.7124
2022-01-07,=845.8100,=1035.3700,=3652239561765.6309,=2715401367553,=1709164918298.7026,=21.8128,=0.1412,=35.7855,=29.4660,=22.7147
2022-01-06,=843.8000,=1032.9200,=3647640502982.8906,=2708880560628,=1705227042756.7942,=21.7829,=0.1398,=35.8143,=29.4673,=22.7147
2022-01-05,=860.8200,=1053.7500,=3721179690983.9302,=2763198525378,=1740297720358.3286,=22.1179,=0.1549,=35.8143,=29.4686,=22.7165
2022-01-04,=869.1900,=1063.9900,=3750897966944.2798,=2788241694303,=1757572379313.4387,=22.2442,=0.1617,=35.8143,=29.4729,=22.7225
2021-12-31,=873.0300,=1068.6900,=3765333283629.1611,=2798346828387,=1766216621559.4324,=22.2412,=0.1604,=35.8143,=29.4771,=22.7227
2021-12-30,=871.3600,=1066.6400,=3746817826771.0898,=2779881532700,=1762962902010.3655,=22.0766,=0.1517,=35.8143,=29.4806,=22.7234
2021-12-29,=857.6800,=1049.9100,=3692439231988.7305,=2737733054956,=1734998554278.8442,=21.7859,=0.1402,=35.8401,=29.4842,=22.7234
2021-12-28,=868.8100,=1063.5200,=3742557112359.6611,=2771686980981,=1758133472985.2964,=21.9719,=0.1451,=35.8401,=29.4867,=22.7382
2021-12-27,=861.6200,=1054.7200,=3706089175033.0591,=2744805951419,=1743412377642.2478,=21.8007,=0.1403,=35.8401,=29.4892,=22.7433
2021-12-24,=859.2000,=1051.7700,=3697593243696.4810,=2737026200069,=1738951600217.9839,=21.7320,=0.1384,=35.8401,=29.5005,=22.7494
2021-12-23,=865.6900,=1059.7100,=3729165606608.3101,=2758340998923,=1751835103671.0759,=21.8852,=0.1419,=35.8401,=29.5118,=22.7521
2021-12-22,=865.9400,=1060.0100,=3731640954073.9199,=2759423115051,=1745989258569.8894,=21.9346,=0.1434,=35.8484,=29.5167,=22.7521
2021-12-21,=873.7000,=1069.5200,=3766410398644.2104,=2785054488932,=1761596534026.5000,=22.1207,=0.1527,=35.8484,=29.5216,=22.7531
2021-12-20,=862.8800,=1056.2700,=3724720035736.5391,=2750624880595,=1739930707854.9890,=21.8200,=0.1401,=35.8484,=29.5284,=22.7548
2021-12-17,=876.7000,=1073.1800,=3786817890155.0708,=2794555033256,=1767535709045.8101,=22.1782,=0.1543,=35.8484,=29.5353,=22.7562
2021-12-16,=886.6900,=1085.4200,=3829510102337.4810,=2824987724807,=1788091300280.7000,=22.2852,=0.1583,=35.8484,=29.5380,=22.7660
2021-12-15,=879.8100,=1076.9900,=3798743937684.5298,=2801299293969,=1774268018957.7693,=22.1002,=0.1501,=35.8658,=29.5407,=22.7660
2021-12-14,=875.7400,=1072.0100,=3780464705775.2988,=2789193904612,=1766035139689.1396,=21.9823,=0.1438,=35.8658,=29.5418,=22.7783
2021-12-13,=880.4500,=1077.7800,=3807751863941.6499,=2807106428696,=1774929415712.9497,=22.1773,=0.1532,=35.8658,=29.5429,=22.7788
2021-12-10,=874.7900,=1070.8400,=3760940116740.8711,=2790781752676,=1760292948893.5305,=22.0666,=0.1484,=35.8658,=29.5454,=22.7814
2021-12-09,=887.6600,=1086.6000,=3808594997236.5098,=2829706572598,=1785057575677.9998,=22.3845,=0.1621,=35.8658,=29.5478,=22.7980
2021-12-08,=871.3400,=1066.6300,=3738206469849.3311,=2780630316241,=1751922624335.3298,=21.9907,=0.1441,=35.8822,=29.5490,=22.7980
2021-12-07,=859.3200,=1051.9100,=3677037425588.3398,=2739491124291,=1726854483996.1499,=21.6906,=0.1388,=35.8822,=29.5503,=22.7982
2021-12-06,=857.0300,=1049.1100,=3670863327236.4790,=2733972729485,=1722406422235.6992,=21.6597,=0.1379,=35.8822,=29.5530,=22.8007
2021-12-03,=845.5900,=1035.1000,=3634396163690.4902,=2704152626720,=1700832895208.6997,=21.5221,=0.1360,=35.8822,=29.5557,=22.8100
2021-12-02,=841.0100,=1029.4900,=3612998386943.2988,=2688349106765,=1691915635044.4795,=21.3857,=0.1336,=35.8822,=29.5611,=22.8107
2021-12-01,=833.7400,=1020.5700,=3584630360274.7104,=2666018235083,=1678027749902.5298,=21.2578,=0.1312,=35.8919,=29.5665,=22.8107
2021-11-30,=822.4900,=1006.8000,=3531001126810.7988,=2628733864374,=1655364860418.7505,=20.9311,=0.1269,=35.8919,=29.5924,=22.8145
2021-11-29,=821.9200,=1006.1100,=3527352039062.5190,=2624978659697,=1654020416762.0500,=20.8812,=0.1250,=35.8919,=29.6182,=22.8194
2021-11-26,=829.3600,=1015.2100,=3560837548577.3491,=2650794868937,=1668316969556.8198,=21.1201,=0.1280,=35.8919,=29.6192,=22.8201
2021-11-25,=835.1700,=1022.3300,=3589099044892.8096,=2670541562843,=1680569970370.6304,=21.2711,=0.1300,=35.8919,=29.6201,=22.8262
2021-11-24,=839.5200,=1027.6500,=3607283853194.8501,=2683192044035,=1688960273780.5105,=21.3495,=0.1306,=35.8974,=29.6219,=22.8262
2021-11-23,=841.7400,=1030.3600,=3609129682620.1201,=2688931131248,=1693022708224.5498,=21.3816,=0.1306,=35.8974,=29.6236,=22.8307
2021-11-22,=839.8000,=1027.9900,=3595376960986.8501,=2678396831044,=1687927230065.8503,=21.2506,=0.1297,=35.8974,=29.6258,=22.8340
