日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PE-TTM正数等权,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2019-09-23,=1212.2600,=1304.6300,=2868353371622.5000,=2330756171360,=1261735044328.9185,=22.0953,=0.1547,=36.0602,=32.2868,=25.4715
2019-09-20,=1228.4700,=1322.0700,=2901967720571.9004,=2356728167839,=1277331965942.5364,=22.3714,=0.1601,=36.0602,=32.2874,=25.5309
2019-09-19,=1224.9800,=1318.3100,=2885189059703.4009,=2341898036040,=1271079644903.1123,=22.2577,=0.1578,=36.0602,=32.2879,=25.5821
2019-09-18,=1209.6000,=1301.7600,=2859811492345.1011,=2320552958479,=1257732645133.7087,=22.0294,=0.1526,=36.0618,=32.2912,=25.5821
2019-09-17,=1214.2300,=1306.7500,=2859814336830.2002,=2317888712368,=1257650970581.9883,=22.1014,=0.1545,=36.0618,=32.2946,=25.5822
2019-09-16,=1242.7100,=1337.4000,=2927879625101.2012,=2372923455426,=1288316347462.3110,=22.6081,=0.1652,=36.0618,=32.2962,=25.5892
2019-09-12,=1243.6100,=1338.3600,=2922546805514.5005,=2365049404234,=1288236128598.5601,=22.6192,=0.1653,=36.0618,=32.2978,=25.6809
2019-09-11,=1239.6100,=1334.0600,=2910230920395.0005,=2352692827088,=1281077757068.9319,=22.4702,=0.1613,=36.0618,=32.3048,=25.7210
2019-09-10,=1245.4900,=1340.3800,=2921984476716.1011,=2362050766182,=1286647119963.8828,=22.5535,=0.1631,=36.0693,=32.3117,=25.7210
2019-09-09,=1245.9900,=1340.9300,=2921680287363.3999,=2361086164910,=1286808518682.6074,=22.5879,=0.1638,=36.0693,=32.3154,=25.7928
2019-09-06,=1215.8100,=1308.4400,=2865202662532.9995,=2319816919187,=1259277577253.1521,=22.1574,=0.1556,=36.0693,=32.3192,=25.8408
2019-09-05,=1211.6000,=1303.9200,=2856516181655.2998,=2314450708484,=1256561684548.1880,=22.0792,=0.1545,=36.0693,=32.3219,=25.9802
2019-09-04,=1204.2300,=1295.9900,=2842573544762.8003,=2304272329360,=1249854166043.2568,=21.9656,=0.1511,=36.0693,=32.3247,=25.9845
2019-09-03,=1194.2600,=1285.2500,=2831311554466.4995,=2295981440089,=1243773956257.8279,=21.7467,=0.1470,=36.0843,=32.3336,=25.9845
2019-09-02,=1184.1800,=1274.4000,=2812574357269.4995,=2279242067889,=1234323002161.5674,=21.6132,=0.1423,=36.0843,=32.3426,=26.0052
