日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PE-TTM正数等权,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2019-12-27,=8882.3100,=9439.0200,=1089452804303.9000,=728310940681,=438597368776.4300,=34.6663,=0.1819,=63.2906,=54.9770,=35.0074
2019-12-26,=9004.9900,=9569.3900,=1104813545125.7998,=738424247063,=444874668061.2902,=35.0074,=0.1989,=63.2906,=55.0750,=35.0159
2019-12-25,=8993.8500,=9557.5500,=1099999117948.6001,=736487807906,=443868141873.5800,=34.8957,=0.1947,=63.2906,=55.0913,=35.0559
2019-12-24,=8998.0800,=9562.0500,=1100698549050.5000,=736593129480,=444035252878.4001,=34.9073,=0.1948,=63.2906,=55.1076,=35.1186
2019-12-23,=8963.6900,=9525.5000,=1098522329498.3000,=735442130001,=442804915386.2501,=34.6755,=0.1825,=63.2906,=55.1743,=35.1926
2019-12-20,=9064.9300,=9633.0800,=1108183717186.2000,=742068041333,=447460096375.2800,=35.3451,=0.2014,=63.3146,=55.2410,=35.1926
2019-12-19,=9175.3300,=9750.4100,=1124263540652.8999,=749704221765,=452810941335.0901,=35.7398,=0.2266,=63.3146,=55.2683,=35.1926
2019-12-18,=9196.1200,=9772.5000,=1125479265714.8999,=751048220310,=453879243549.9600,=35.7959,=0.2304,=63.3146,=55.2956,=35.1926
2019-12-17,=9343.0200,=9928.6100,=1145629338185.1001,=763589891219,=461591848937.6600,=36.1654,=0.2449,=63.3146,=55.3291,=35.1926
2019-12-16,=9266.4500,=9847.2300,=1136943396676.1001,=757015308000,=457394417325.2201,=35.9056,=0.2370,=63.3146,=55.3625,=35.1926
2019-12-13,=9153.9700,=9727.7000,=954513799786.4000,=693231597859,=449330657669.1700,=34.1553,=0.1629,=63.3374,=55.3647,=35.1186
2019-12-12,=8995.9500,=9559.7900,=933505228713.5000,=678497851520,=440372790937.8700,=33.5081,=0.1461,=63.3374,=55.3669,=35.1926
2019-12-11,=9039.6200,=9606.1900,=935489348575.5000,=680765609806,=441564069916.4301,=33.6265,=0.1507,=63.3374,=55.4217,=35.3360
2019-12-10,=9055.8900,=9623.4900,=937666932206.1998,=682630440796,=442658401974.4700,=33.7206,=0.1535,=63.3374,=55.4766,=35.3479
2019-12-09,=8917.7900,=9476.7300,=925743596862.8000,=673174409578,=436573429361.1101,=33.3243,=0.1429,=63.3374,=55.5330,=35.3535
2019-12-06,=9079.5400,=9648.6200,=944242181987.6000,=686900126369,=445113399668.5102,=33.6361,=0.1502,=63.3438,=55.5894,=35.3535
2019-12-05,=9029.7900,=9595.7500,=936639022925.4000,=681923882407,=441838621351.7100,=33.5175,=0.1458,=63.3438,=55.6031,=35.3540
2019-12-04,=8908.8100,=9467.1900,=924382592722.9000,=673490306856,=435714939344.6800,=33.0885,=0.1342,=63.3438,=55.6167,=35.3891
2019-12-03,=8860.7700,=9416.1300,=918708440430.9000,=669409528574,=433133411356.0201,=32.9920,=0.1307,=63.3438,=55.6193,=35.4179
2019-12-02,=8849.1000,=9403.7300,=915902813041.7998,=667896225241,=432312103939.3599,=32.8388,=0.1236,=63.3438,=55.6219,=35.4363
2019-11-29,=8942.3100,=9502.7800,=924583660057.2000,=674246367834,=438868386972.2800,=33.0492,=0.1301,=63.3848,=55.6823,=35.4363
2019-11-28,=9128.4400,=9700.5800,=948016131321,=691025092183,=448976465900.3800,=33.5522,=0.1447,=63.3848,=55.7428,=35.5408
2019-11-27,=9139.2100,=9712.0200,=946469613087.9000,=689718440964,=449379336911.9601,=33.5530,=0.1448,=63.3848,=55.7464,=35.5439
2019-11-26,=9253.1000,=9833.0500,=958156956776.8000,=698798917399,=455221764778.4899,=33.7353,=0.1467,=63.3848,=55.7500,=35.5532
2019-11-25,=9223.1900,=9801.2700,=954160490907.2000,=694620598152,=453421643786.7101,=33.8850,=0.1487,=63.3848,=55.7564,=35.5561
2019-11-22,=9375.9700,=9963.6300,=967537563564.4000,=704719064138,=460524881079.7100,=34.4918,=0.1624,=63.3858,=55.7627,=35.5561
2019-11-21,=9743.3200,=10354,=1009911032040.2000,=734482565558,=478670918185.4000,=35.5667,=0.2007,=63.3858,=55.7851,=35.5617
2019-11-20,=9927.6900,=10549.9200,=1032077424809.6000,=749841838763,=488925325532.1401,=35.8057,=0.2191,=63.3858,=55.8076,=35.5617
2019-11-19,=9898.1600,=10518.5500,=1028799023227,=748753222773,=487892298424.5002,=35.6671,=0.2102,=63.3858,=55.8398,=35.5617
2019-11-18,=9623.6600,=10226.8300,=1000504832401.7000,=728518174048,=474654118110.4000,=34.7565,=0.1749,=63.3858,=55.8721,=35.5617
2019-11-15,=9593.1500,=10194.4200,=993399342984.4000,=724666251722,=473158325303.7799,=34.5768,=0.1677,=63.4138,=55.8742,=35.5617
2019-11-14,=9687.7400,=10294.9400,=1003531682393.6996,=732647482721,=477727457631.6299,=34.9346,=0.1825,=63.4138,=55.8764,=35.5708
2019-11-13,=9593.5500,=10194.8400,=991420871492.8002,=724494552729,=472387589244.5299,=34.6144,=0.1689,=63.4138,=55.8841,=35.5753
2019-11-12,=9374.7000,=9962.2700,=964955196137.1000,=705481715112,=460202392300.1800,=34.5201,=0.1654,=63.4138,=55.8918,=35.5859
2019-11-11,=9306.9500,=9890.2800,=958246938141.7000,=700388597699,=457249626896.5301,=34.4660,=0.1619,=63.4138,=55.8959,=35.6012
2019-11-08,=9562.9000,=10162.2700,=981466217154.9000,=717162369373,=469372012273.6199,=35.6823,=0.2079,=63.4264,=55.9001,=35.6012
2019-11-07,=9633.8400,=10237.6600,=987310743436.5000,=721020271215,=472418674156.3200,=35.8780,=0.2163,=63.4264,=55.9311,=35.6012
2019-11-06,=9524.4200,=10121.3800,=976188671233.2000,=713384594294,=467505363874.3600,=35.4179,=0.1908,=63.4264,=55.9621,=35.6012
2019-11-05,=9577.4500,=10177.7300,=983624751463.4000,=718957959078,=470314480513.3199,=35.5859,=0.1983,=63.4264,=55.9694,=35.6073
2019-11-04,=9597.8100,=10199.3600,=986652658470.2000,=720283789726,=471761863071.0400,=35.5753,=0.1976,=63.4264,=55.9767,=35.6089
2019-11-01,=9374.8400,=9962.4200,=962228795278.3000,=703360509025,=460156229046.7701,=34.8298,=0.1776,=63.4718,=56.0147,=35.6089
2019-10-31,=9179.9300,=9755.2900,=944433635890.6000,=688370661950,=451154494477.7101,=34.5196,=0.1648,=63.4718,=56.0528,=35.6239
2019-10-30,=9188.3800,=9764.2700,=934116269672.5000,=683751010718,=425048154851.9920,=34.7413,=0.1714,=63.4718,=56.0539,=35.6281
2019-10-29,=9201.5300,=9778.2500,=932668536467.4000,=683476723409,=416133069325.0316,=35.6368,=0.2011,=63.4718,=56.0551,=35.6351
2019-10-28,=9152.5100,=9726.1600,=927097802895.8998,=679185001255,=412725190688.4529,=36.3450,=0.2253,=63.4718,=56.0752,=35.6351
2019-10-25,=8937.5800,=9497.7600,=906681015058.6000,=663300379374,=402478039876.3167,=36.0364,=0.2181,=63.4833,=56.0954,=35.6281
2019-10-24,=8865.6500,=9421.3200,=901102895275,=658566737184,=403359790565.9859,=36.0471,=0.2183,=63.4833,=56.1075,=35.6281
2019-10-23,=8910.8300,=9469.3300,=907396038581.6000,=662798833063,=405905389374.0001,=36.4287,=0.2250,=63.4833,=56.1197,=35.6281
2019-10-22,=9104.3500,=9674.9800,=926589040180.8000,=676764765050,=413928371449.1994,=37.0121,=0.2317,=63.4833,=56.1510,=35.6281
2019-10-21,=9013.1300,=9578.0400,=915417020782.5000,=667415558200,=409288344397.6422,=36.7040,=0.2263,=63.4833,=56.1823,=35.6281
2019-10-18,=9226.4500,=9804.7300,=940372437261.2000,=683501848723,=419562269940.1967,=37.4389,=0.2423,=63.4857,=56.1949,=35.6239
2019-10-17,=9192.9800,=9769.1700,=940040378547.6000,=683415355744,=418431162321.4133,=37.4258,=0.2416,=63.4857,=56.2074,=35.6239
2019-10-16,=9184.3800,=9760.0200,=934874106796.5000,=680519189650,=417574031466.8641,=37.4080,=0.2400,=63.4857,=56.2369,=35.6239
2019-10-15,=9072.9300,=9641.5900,=925995080899.1000,=673871235178,=412786781621.8554,=37.1858,=0.2356,=63.4857,=56.2664,=35.6239
2019-10-14,=9114.6400,=9685.9100,=933177976219.9000,=676881688175,=414427986060.0216,=37.4666,=0.2404,=63.4857,=56.2672,=35.6239
2019-10-11,=9054.4200,=9621.9200,=928625036679.2000,=673591337745,=411843362420.9838,=37.0202,=0.2332,=63.6239,=56.2679,=35.6089
2019-10-10,=9026.7600,=9592.5300,=925133311951.6000,=671554697878,=410088688638.5919,=36.7489,=0.2278,=63.6239,=56.2944,=35.6089
2019-10-09,=8712.6600,=9258.7300,=890953445447.8999,=647056557996,=395444031624.4834,=35.9810,=0.2187,=63.6239,=56.3210,=35.6089
2019-10-08,=8727.6000,=9274.6100,=892853304200.6998,=649256604773,=396137749506.0340,=35.7845,=0.2095,=63.6239,=56.3312,=35.6089
2019-09-30,=8657.1300,=9199.7300,=889030834877.8000,=645037066777,=394094194157.5221,=35.6073,=0.1994,=63.6239,=56.3414,=35.6089
2019-09-27,=8681.7000,=9225.8300,=890621215809.9000,=645613018472,=395070827475.5789,=35.8541,=0.2118,=63.6620,=56.3804,=35.6089
2019-09-26,=8622.2100,=9162.6200,=884957158364.7001,=641867729144,=392244052600.6135,=35.6089,=0.1998,=63.6620,=56.4194,=35.6089
2019-09-25,=8827,=9380.2500,=902945791890.7002,=655055125367,=400597513403.2219,=36.6061,=0.2235,=63.6620,=56.4221,=35.6239
