日期,收盘点位,市值(元),流通市值(元),自由流通市值(元),PE-TTM正数等权,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2025-11-28,=3888.6000,=75395279209596.7656,=59078616246597,=27195109952179.3555,=27.8076,=0.7543,=29.6702,=22.2849,=20.5687
2025-11-27,=3875.2600,=75226088677212.6094,=58878499940144,=27049399681539.0938,=27.6291,=0.7460,=29.6702,=22.2848,=20.5687
2025-11-26,=3864.1800,=75030371354979.8438,=58706569375833,=27015909528958.1914,=27.5690,=0.7439,=29.6848,=22.2848,=20.5687
2025-11-25,=3870.0200,=75177914292174.0781,=58784655979363,=27004631021472.8359,=27.6566,=0.7460,=29.7264,=22.2848,=20.5687
2025-11-24,=3836.7700,=74538461937043.8281,=58284800002709,=26753586925050.2461,=27.4141,=0.7398,=29.7280,=22.2848,=20.5687
2025-11-21,=3834.8900,=74589170655144.4063,=58263868919715,=26657462636921.2266,=27.2578,=0.7374,=29.8080,=22.2849,=20.5687
2025-11-20,=3931.0500,=76294987326025.3750,=59719562883769,=27413206679551.8555,=28.0947,=0.7653,=29.8080,=22.2848,=20.5687
2025-11-19,=3946.7400,=76466006126462.6563,=59970705654729,=27559389279754.9688,=28.2238,=0.7715,=29.8351,=22.2848,=20.5687
2025-11-18,=3939.8100,=76222999458007.4531,=59856242400838,=27591378678586.3984,=28.3825,=0.7765,=29.8480,=22.2848,=20.5687
2025-11-17,=3972.0300,=76771645376356.6875,=60343518416682,=27820214024058.5938,=28.7068,=0.7822,=29.8547,=22.2848,=20.5687
2025-11-14,=3990.4900,=77193364629455.3906,=60603597787174,=27939333817548.1992,=28.9052,=0.7835,=29.9741,=22.2849,=20.5687
2025-11-13,=4029.5000,=77887134984441.6563,=61207361670903,=28239961381414.8594,=29.0460,=0.7859,=29.9741,=22.2848,=20.5687
2025-11-12,=4000.1400,=77394993633433.0469,=60759803749109,=27951191051307.6289,=28.8688,=0.7834,=30.0184,=22.2848,=20.5687
2025-11-11,=4002.7600,=77249014285448.2656,=60784549819504,=28050320280695.0508,=28.9597,=0.7843,=30.0962,=22.2848,=20.5687
2025-11-10,=4018.6000,=77537096162403.2813,=61031684302268,=28185442728481.2383,=28.9675,=0.7843,=30.1344,=22.2848,=20.5687
2025-11-07,=3997.5600,=77104896692068.4063,=60695265159846,=28063289027264.9063,=28.7779,=0.7823,=30.2422,=22.2849,=20.5687
2025-11-06,=4007.7600,=77297220271627.1875,=60852299396116,=28125848679955.2383,=28.7714,=0.7822,=30.2422,=22.2848,=20.5687
2025-11-05,=3969.2500,=76582705785109.4063,=60264879769270,=27802956293340.8242,=28.5624,=0.7810,=30.2665,=22.2848,=20.5687
2025-11-04,=3960.1900,=76480921453931.1563,=60127425208068,=27742382708392.4844,=28.4103,=0.7781,=30.3454,=22.2848,=20.5687
2025-11-03,=3976.5200,=76667836706748.6875,=60372247979685,=27929046700826.8828,=28.5378,=0.7802,=30.3535,=22.2848,=20.5687
2025-10-31,=3954.7900,=76197919292895.0156,=60046557287572,=27835427184387.2891,=28.3917,=0.7761,=30.3705,=22.2849,=20.5687
2025-10-30,=3986.9000,=76824533004372.0938,=60544859470979,=27936468271894.8086,=28.1486,=0.7678,=30.3705,=22.2848,=20.5687
2025-10-29,=4016.3300,=77343121758819.8125,=60990503366930,=28144834639195.1836,=28.2542,=0.7727,=30.3727,=22.2848,=20.5687
2025-10-28,=3988.2200,=76916165815402.5938,=60562136160010,=27770288436760.8164,=28.3296,=0.7744,=30.3983,=22.2848,=20.5687
2025-10-27,=3996.9400,=77114973139694.7813,=60687527184241,=27844906741827.7383,=28.4072,=0.7760,=30.4127,=22.2848,=20.5687
2025-10-24,=3950.3100,=76253022039942.0938,=59955448861784,=27533189737819.9336,=28.1847,=0.7691,=30.4815,=22.2849,=20.5687
2025-10-23,=3922.4100,=75738032633536.5000,=59543306891071,=27278838209216.4531,=28.2059,=0.7699,=30.4815,=22.2848,=20.5687
2025-10-22,=3913.7600,=75532922448712.7031,=59410778527990,=27233777685378.7422,=28.0792,=0.7649,=30.5157,=22.2848,=20.5687
2025-10-21,=3916.3300,=75475968004042.2344,=59441737911340,=27318226788583.6992,=28.1237,=0.7666,=30.5754,=22.2848,=20.5687
2025-10-20,=3863.8900,=74572391191060.3281,=58646180596851,=26951146925816.6094,=27.8235,=0.7526,=30.6172,=22.2848,=20.5687
2025-10-17,=3839.7600,=74110398379616.5156,=58250854347817,=26795208096852.2500,=27.6790,=0.7461,=30.6281,=22.2849,=20.5687
2025-10-16,=3916.2300,=75480453820865.6406,=59391323248210,=27419606228079.3086,=28.1733,=0.7666,=30.6281,=22.2848,=20.5687
2025-10-15,=3912.2100,=75283736809973.5000,=59326268966108,=27484861605344.7695,=28.3287,=0.7711,=30.6498,=22.2848,=20.5687
2025-10-14,=3865.2300,=74437595920624.8750,=58601787743970,=27128392375874.1914,=28.0431,=0.7612,=30.6522,=22.2848,=20.5687
2025-10-13,=3889.5000,=74785840617753.9063,=58943622291967,=27427250604186.2656,=28.1109,=0.7637,=30.6571,=22.2848,=20.5687
2025-10-10,=3897.0300,=74854680469055.3125,=59047350232793,=27442969844000.8672,=28.2463,=0.7683,=30.6848,=22.2849,=20.5687
2025-10-09,=3933.9700,=75516429800047.6719,=59551167682944,=27813434027348.5547,=28.1181,=0.7645,=30.6848,=22.2848,=20.5687
2025-09-30,=3882.7800,=74590122796345.8281,=58753837937269,=27431330770659.7383,=27.8657,=0.7543,=30.7160,=22.2849,=20.5687
2025-09-29,=3862.5300,=74208274412228.1875,=58450802865143,=27224581331391.0352,=27.8332,=0.7523,=30.7162,=22.2849,=20.5687
2025-09-26,=3828.1100,=73616536190406.0313,=57902704825667,=26911009402522.9492,=27.6492,=0.7441,=30.7532,=22.2850,=20.5687
2025-09-25,=3853.3000,=74064929218032.8281,=58254683520964,=27116462253657.8398,=27.6870,=0.7461,=30.7532,=22.2849,=20.5687
2025-09-24,=3853.6400,=74061452984373.5625,=58255899936968,=27090038056218.8555,=27.8386,=0.7514,=30.8029,=22.2849,=20.5687
2025-09-23,=3821.8300,=73492358906057.9063,=57788331842175,=26789862201666.0898,=27.5522,=0.7424,=30.8064,=22.2849,=20.5687
2025-09-22,=3828.5800,=73496904896329.9219,=57887414027484,=26911772507071.6133,=27.6582,=0.7444,=30.8133,=22.2849,=20.5687
2025-09-19,=3820.0900,=73414049858771.1563,=57751900098767,=26793842385436.6172,=27.7730,=0.7478,=30.9013,=22.2850,=20.5687
2025-09-18,=3831.6600,=73572807760428.1094,=57914957239580,=26868583424441.5430,=27.7662,=0.7473,=30.9013,=22.2849,=20.5687
2025-09-17,=3876.3400,=74480820591875.1719,=58584990711963,=27137145421493.8594,=28.1752,=0.7613,=30.9086,=22.2849,=20.5687
2025-09-16,=3861.8700,=74186423880041.7188,=58379162751876,=27002787906107.9492,=28.0620,=0.7588,=30.9090,=22.2849,=20.5687
2025-09-15,=3860.5000,=74080594586851.1250,=58246985812378,=26962818748553.8008,=27.9715,=0.7547,=30.9542,=22.2849,=20.5687
2025-09-12,=3870.6000,=74288213095717.5781,=58392900386530,=27019364944888.0547,=28.0548,=0.7573,=30.9792,=22.2850,=20.5687
2025-09-11,=3875.3100,=74403973611210.0625,=58466157221873,=27034053098197.1680,=28.1240,=0.7593,=30.9792,=22.2849,=20.5687
2025-09-10,=3812.2200,=73318906752038.4531,=57522634687318,=26550244187813.9609,=27.8395,=0.7498,=30.9838,=22.2849,=20.5687
2025-09-09,=3807.2900,=73176782129207.4375,=57434025273220,=26523815251975.6758,=27.8823,=0.7506,=31.0449,=22.2849,=20.5687
2025-09-08,=3826.8400,=73568696430915.0156,=57690819014260,=26685753688723.0078,=28.0051,=0.7551,=31.0729,=22.2849,=20.5687
2025-09-05,=3812.5100,=73333253571689.7344,=57417634363141,=26551000240230.7148,=27.6792,=0.7445,=31.1734,=22.2850,=20.5687
2025-09-04,=3765.8800,=72601272305162.3594,=56717579813495,=26088159127776.4570,=27.2983,=0.7374,=31.1734,=22.2849,=20.5687
2025-09-03,=3813.5600,=73429718525934.5000,=57427925957162,=26571445505041.2188,=27.4439,=0.7394,=31.1734,=22.2848,=20.5687
2025-09-02,=3858.1300,=74245398054471.5938,=58111239302415,=26893920797292.5273,=27.7994,=0.7484,=31.1734,=22.2848,=20.5687
2025-09-01,=3875.5300,=74372715396981.5938,=58354605533196,=27125568231370.3984,=28.0349,=0.7541,=31.2070,=22.2848,=20.5687
2025-08-29,=3857.9300,=74101995281653.5938,=58154755832434,=26938023589611.5781,=27.9155,=0.7497,=31.2513,=22.2848,=20.5687
2025-08-28,=3843.6000,=73842120127130.5938,=57920169378750,=26813643527020.1406,=27.9631,=0.7516,=31.2513,=22.2848,=20.5687
2025-08-27,=3800.3500,=72992109062805.8438,=57265981401941,=26282241981856.7969,=27.8478,=0.7492,=31.2539,=22.2848,=20.5687
2025-08-26,=3868.3800,=74267943021822.8125,=58203746049162,=26716083125308.9102,=28.5318,=0.7628,=31.2700,=22.2848,=20.5687
2025-08-25,=3883.5600,=74570784967471.4219,=58417386439445,=26802640616031.8359,=28.3602,=0.7599,=31.2782,=22.2848,=20.5687
2025-08-22,=3825.7600,=73559399304593.8281,=57514720719723,=26330770159353.5430,=28.0572,=0.7534,=31.2906,=22.2848,=20.5687
2025-08-21,=3771.1000,=72574921646647.2344,=56676748205475,=25896708496429.9414,=27.9707,=0.7512,=31.2906,=22.2848,=20.5687
2025-08-20,=3766.2100,=72419499248004.6250,=56602567482627,=25903458120060.7188,=27.9756,=0.7512,=31.2942,=22.2848,=20.5687
2025-08-19,=3727.2900,=71702204640995.2813,=56020129489937,=25610007529022.1797,=27.7095,=0.7446,=31.2957,=22.2848,=20.5687
2025-08-18,=3728.0300,=71780961195771.2813,=56021961165298,=25658183877506.3164,=27.6578,=0.7438,=31.3020,=22.2848,=20.5687
2025-08-15,=3696.7700,=71237472984833.1250,=55577564198267,=25422902834625.9805,=27.5407,=0.7415,=31.3465,=22.2848,=20.5687
2025-08-14,=3666.4400,=70753683154516.3750,=55134261016856,=25143377792903.3242,=27.2312,=0.7376,=31.3465,=22.2848,=20.5687
2025-08-13,=3683.4600,=71023459609533.4063,=55430684418458,=25282396785923.4336,=27.5740,=0.7418,=31.3488,=22.2848,=20.5687
2025-08-12,=3665.9200,=70779942268647.6250,=55178519143896,=25115560636208.6367,=27.4818,=0.7401,=31.3581,=22.2848,=20.5687
2025-08-11,=3647.5500,=70419346114519.7344,=54703915609121,=25033719816579.1211,=27.4056,=0.7385,=31.3600,=22.2848,=20.5687
2025-08-08,=3635.1300,=70301669866630.6328,=54537398701236,=24899844788771.8242,=27.2250,=0.7369,=31.3742,=22.2848,=20.5687
2025-08-07,=3639.6700,=70392225948810.5938,=54597861872042,=24949277513356.8477,=27.1017,=0.7360,=31.3742,=22.2848,=20.5687
2025-08-06,=3633.9900,=70287407650121.1563,=54510911044849,=24941546474677.1797,=27.1146,=0.7360,=31.4119,=22.2848,=20.5687
2025-08-05,=3617.6000,=70038571306986.1172,=54262178853790,=24821415552754.0391,=27.0023,=0.7348,=31.4343,=22.2848,=20.5687
2025-08-04,=3583.3100,=69365471354762.2734,=53742640793100,=24617548882933.4336,=26.7787,=0.7286,=31.4348,=22.2848,=20.5687
2025-08-01,=3559.9500,=68908821722387.7500,=53402221138531,=24440302232465.0469,=26.5608,=0.7254,=31.4747,=22.2848,=20.5687
2025-07-31,=3573.2100,=69180833813801.1094,=53601375938403,=24510690582566.0313,=26.4661,=0.7199,=31.4747,=22.2848,=20.5687
2025-07-30,=3615.7200,=69948776518816.8438,=54241389290911,=24856707018820.4531,=26.8753,=0.7306,=31.5150,=22.2848,=20.5687
2025-07-29,=3609.7100,=69785308706810.4063,=54136035199763,=24871749564397.3477,=26.9040,=0.7306,=31.5294,=22.2848,=20.5687
2025-07-28,=3597.9400,=69631816060812.9922,=53961918364899,=24771389174768.6328,=26.9087,=0.7306,=31.5304,=22.2848,=20.5687
2025-07-25,=3593.6600,=69560933378289.9063,=53893714848666,=24717224113834.2617,=26.9497,=0.7312,=31.5532,=22.2848,=20.5687
2025-07-24,=3605.7300,=69810651504832.4922,=54042390651713,=24770490673112.8594,=27.0088,=0.7319,=31.5532,=22.2848,=20.5687
2025-07-23,=3582.3000,=69457154549925.8828,=53694545752015,=24545425177001.3594,=26.7979,=0.7282,=31.5544,=22.2848,=20.5687
2025-07-22,=3581.8600,=69418149509438.9219,=53695876824043,=24553587416780.1992,=26.9175,=0.7302,=31.6095,=22.2848,=20.5687
2025-07-21,=3559.7900,=69070077799588.4688,=53333683690239,=24399341916085.8242,=26.6694,=0.7265,=31.6239,=22.2848,=20.5687
2025-07-18,=3534.4800,=68679114827580.1172,=52939698297604,=24202336291952.5547,=26.3046,=0.7159,=31.6477,=22.2848,=20.5687
2025-07-17,=3516.8300,=68365166869398.9375,=52672079187038,=24083720647872.1211,=26.2230,=0.7138,=31.6477,=22.2848,=20.5687
2025-07-16,=3503.7800,=68186763228958.5391,=52485910983326,=23935194360990.0156,=26.1502,=0.7100,=31.6668,=22.2848,=20.5687
2025-07-15,=3505,=68214020580730.5938,=52506459887634,=23939399778883.6328,=26.0665,=0.7080,=31.6704,=22.2848,=20.5687
2025-07-14,=3519.6500,=68490526925630.5781,=52728873695709,=24044205932536.1641,=26.2528,=0.7133,=31.6739,=22.2848,=20.5687
2025-07-11,=3510.1800,=68319518289891.4297,=52579634395161,=24002937177619.6836,=26.0892,=0.7081,=31.7135,=22.2848,=20.5687
2025-07-10,=3509.6800,=68384719012930.0469,=52573998093472,=23953426382127.3984,=26.0732,=0.7080,=31.7135,=22.2848,=20.5687
2025-07-09,=3493.0500,=68037328390576.2734,=52314994052253,=23848765966878.4414,=25.9545,=0.7059,=31.7345,=22.2848,=20.5687
2025-07-08,=3497.4800,=68060830729053.2422,=52374743523451,=23915115912125.1797,=25.9804,=0.7059,=31.7650,=22.2848,=20.5687
2025-07-07,=3473.1300,=67647503905729.7031,=52008021386101,=23729059419518.1484,=25.8066,=0.7039,=31.7754,=22.2848,=20.5687
2025-07-04,=3472.3200,=67664768156467.7969,=51987542728099,=23714651682465.1094,=25.6726,=0.6995,=31.7960,=22.2848,=20.5687
2025-07-03,=3461.1500,=67403043210612.9922,=51813969276929,=23674364709475.4414,=25.7456,=0.7022,=31.7960,=22.2848,=20.5687
2025-07-02,=3454.7900,=67338777736536.3594,=51717693805714,=23603909650879.7383,=25.6497,=0.6993,=31.8017,=22.2848,=20.5687
2025-07-01,=3457.7500,=67397575497757.6172,=51742118643337,=23632105216155.8633,=25.6359,=0.6989,=31.8053,=22.2848,=20.5687
2025-06-30,=3444.4300,=67071494380970.7969,=51506252426074,=23547501412505.4375,=25.5008,=0.6973,=31.8063,=22.2848,=20.5687
2025-06-27,=3424.2300,=66702042268191.8594,=51175003864042,=23402458780226.8164,=25.3392,=0.6937,=31.8479,=22.2848,=20.5687
2025-06-26,=3448.4500,=67268167622174.2031,=51539957227178,=23502704928885.3477,=25.3049,=0.6932,=31.8479,=22.2848,=20.5687
2025-06-25,=3455.9700,=67387570927061.3516,=51647462292132,=23577919865513.5039,=25.3941,=0.6948,=31.8587,=22.2848,=20.5687
2025-06-24,=3420.5700,=66716956521115.0781,=51130271018823,=23285474379041.0508,=25.2208,=0.6903,=31.8815,=22.2848,=20.5687
2025-06-23,=3381.5800,=65929934660362.3984,=50540029350527,=22994968266389.6211,=24.9558,=0.6820,=31.8899,=22.2848,=20.5687
2025-06-20,=3359.9000,=65503059352690.9375,=50205780189587,=22839035485233.4258,=24.7819,=0.6771,=31.8912,=22.2848,=20.5687
2025-06-19,=3362.1100,=65463513901601.1328,=50231973931244,=22868859628066.8672,=24.8333,=0.6786,=31.9006,=22.2844,=20.5685
2025-06-18,=3388.8100,=65800091452738.0391,=50625731514462,=23090788375070.4883,=25.1523,=0.6864,=31.9297,=22.2844,=20.5685
2025-06-17,=3387.4000,=65712953546016.0313,=50606428869705,=23102916622235.5938,=25.2372,=0.6889,=31.9361,=22.2844,=20.5685
2025-06-16,=3388.7300,=65487855127513.8672,=50606845497569,=23138001928329.7188,=25.2429,=0.6893,=31.9922,=22.2844,=20.5685
2025-06-13,=3377,=65146288754815.8125,=50526733173180,=23127514592074.1016,=25.1347,=0.6857,=32.0082,=22.2848,=20.5687
2025-06-12,=3402.6600,=65550095496902.2109,=50901859373508,=23334409340861.7031,=25.4344,=0.6926,=32.0258,=22.2844,=20.5685
2025-06-11,=3402.3200,=65549520633110.2031,=50888014456711,=23320010129951.0664,=25.4190,=0.6922,=32.0398,=22.2844,=20.5685
2025-06-10,=3384.8200,=65235587243735.1563,=50613513091962,=23191415425735.6602,=25.2891,=0.6897,=32.0401,=22.2844,=20.5685
2025-06-09,=3399.7700,=65513763418769.9688,=50826431449495,=23319221928618.1484,=25.4004,=0.6914,=32.0442,=22.2844,=20.5685
2025-06-06,=3385.3600,=65293176405998.9609,=50611853021038,=23194222486056.6367,=25.2440,=0.6886,=32.0614,=22.2848,=20.5687
2025-06-05,=3384.1000,=65279968876068.4531,=50583021725382,=23200712729212.7930,=25.2157,=0.6881,=32.0657,=22.2844,=20.5685
2025-06-04,=3376.2000,=65132571217074.1094,=50468499409382,=23142022792801.5352,=25.2409,=0.6881,=32.1000,=22.2844,=20.5685
2025-06-03,=3361.9800,=64900446357474.6172,=50255951567798,=23033486594754.5000,=25.0542,=0.6836,=32.1053,=22.2844,=20.5685
2025-05-30,=3347.4900,=64599891813315.0313,=50034506351302,=22900076361041.2734,=24.8956,=0.6797,=32.1199,=22.2848,=20.5687
2025-05-29,=3363.4500,=64808309343238.6719,=50270905362383,=23038550216119.2344,=25.0740,=0.6837,=32.1199,=22.2848,=20.5687
2025-05-28,=3339.9300,=64417141250565.7266,=49936398025935,=22843195550573.6914,=24.8693,=0.6792,=32.1505,=22.2848,=20.5687
2025-05-27,=3340.6900,=64457984934970.2500,=49939353838610,=22870401475728.3867,=24.8434,=0.6787,=32.1621,=22.2848,=20.5687
2025-05-26,=3346.8400,=64541683577274.8203,=50027638841901,=22932601787861.8203,=24.8350,=0.6783,=32.1707,=22.2848,=20.5687
2025-05-23,=3348.3700,=64569314348257.6484,=50058816079782,=22932716255335.3242,=24.7841,=0.6768,=32.1863,=22.2848,=20.5687
2025-05-22,=3380.1900,=65135036099299.5781,=50533248400514,=23141819805739.3594,=24.9832,=0.6796,=32.1863,=22.2848,=20.5687
2025-05-21,=3387.5700,=65257913051641.4531,=50635479944211,=23207711205365.3672,=25.1832,=0.6829,=32.1906,=22.2848,=20.5687
2025-05-20,=3380.4800,=65100174982555.4609,=50520603207875,=23173653898576.8008,=25.1616,=0.6825,=32.1920,=22.2848,=20.5687
2025-05-19,=3367.5800,=64831035677638.1719,=50321347647541,=23067561395032.2656,=25.0251,=0.6804,=32.2864,=22.2848,=20.5687
2025-05-16,=3367.4600,=64827143825406,=50320322844456,=23056436203259.8594,=24.9171,=0.6785,=32.3285,=22.2848,=20.5687
2025-05-15,=3380.8200,=65099759226255.6328,=50525630072327,=23112881898220.7305,=24.8907,=0.6779,=32.3285,=22.2848,=20.5687
2025-05-14,=3403.9500,=65532419168832.5391,=50854340363907,=23310327305625.4883,=25.0553,=0.6796,=32.3430,=22.2848,=20.5687
2025-05-13,=3374.8700,=64964512303527.5625,=50409033156986,=23123280707549.3438,=24.9670,=0.6783,=32.3435,=22.2848,=20.5687
2025-05-12,=3369.2400,=64820376155825.6094,=50317751025094,=23108886758296.5313,=24.9002,=0.6779,=32.3518,=22.2848,=20.5687
2025-05-09,=3342,=64399452253789.1563,=49905027378308,=22890048741779.7031,=24.7022,=0.6764,=32.3672,=22.2848,=20.5687
2025-05-08,=3352,=64581924339778.2734,=50035576081862,=23003591731354.3086,=24.8099,=0.6767,=32.3672,=22.2848,=20.5687
2025-05-07,=3342.6700,=64422119752617.5938,=49888488543865,=22910732252533.2773,=24.6854,=0.6763,=32.3677,=22.2848,=20.5687
2025-05-06,=3316.1100,=63890539342131.5625,=49481912209722,=22780444812433.4492,=24.5202,=0.6734,=32.3705,=22.2848,=20.5687
2025-04-30,=3279.0300,=63269548869456.9922,=48944754920066,=22479418594470.1055,=24.1341,=0.6584,=32.3806,=22.2849,=20.5687
2025-04-29,=3286.6500,=63521599480570.4219,=49062860963309,=22274641856114.2891,=24.2563,=0.6634,=32.3866,=22.2849,=20.5687
2025-04-28,=3288.4100,=63589115586403.3906,=49091654981745,=22202487925513.6055,=24.1465,=0.6584,=32.4392,=22.2849,=20.5687
2025-04-25,=3295.0600,=63589704235314.6094,=49164735476717,=22238750433210.2734,=24.2085,=0.6598,=32.4568,=22.2850,=20.5687
2025-04-24,=3297.2900,=63656093940266.8203,=49178882843025,=22186783804508.2344,=23.9755,=0.6498,=32.4568,=22.2849,=20.5687
2025-04-23,=3296.3600,=63589972923734.2969,=49153290583887,=22223005229311.7930,=23.9791,=0.6498,=32.4642,=22.2849,=20.5687
2025-04-22,=3299.7600,=63717959838803.4766,=49181181874706,=22209320302873.9453,=24.0215,=0.6506,=32.4691,=22.2849,=20.5687
2025-04-21,=3291.4300,=63528970695330.9375,=49041480222473,=22180178416053.4883,=23.9245,=0.6469,=32.4744,=22.2849,=20.5687
2025-04-18,=3276.7300,=63374260460027.7969,=48776826697237,=21960381748686.5938,=23.5639,=0.6294,=32.4930,=22.2850,=20.5687
2025-04-17,=3280.3400,=63367089000220.2578,=48817423491828,=21980415559907.1992,=23.5556,=0.6288,=32.4930,=22.2849,=20.5687
2025-04-16,=3276,=63290520410841.4219,=48752668818189,=22071210929365.0352,=23.4407,=0.6230,=32.5036,=22.2849,=20.5687
2025-04-15,=3267.6600,=63045771891025.9609,=48617390795084,=22066408090749.5039,=23.5706,=0.6288,=32.5211,=22.2849,=20.5687
2025-04-14,=3262.8100,=62902357297273.1875,=48538446310819,=22065449448057.3555,=23.5291,=0.6276,=32.5484,=22.2849,=20.5687
2025-04-11,=3238.2300,=62387799146460,=48172162118219,=21906051424670.2188,=23.2000,=0.6109,=32.5665,=22.2850,=20.5687
2025-04-10,=3223.6400,=62128447852694.6172,=47987225639997,=21642696401931.7461,=23.1216,=0.6053,=32.5665,=22.2849,=20.5687
2025-04-09,=3186.8100,=61544156583241.4297,=47447284880909,=21335141052867.0625,=22.6712,=0.5650,=32.5721,=22.2849,=20.5687
2025-04-08,=3145.5500,=60886592144392.2813,=46877600932331,=21018082820958.1602,=22.3181,=0.5066,=32.5734,=22.2849,=20.5687
2025-04-07,=3096.5800,=59873195913769.4609,=46137988255513,=20746557573657.0078,=22.1865,=0.4741,=32.5735,=22.2849,=20.5687
2025-04-03,=3342.0100,=64255340037832.7578,=49698179986542,=22473493858008.6758,=24.4372,=0.6626,=32.5741,=22.2851,=20.5687
2025-04-02,=3350.1300,=64315164749765.8828,=49809777335481,=22567655251116.0508,=24.5566,=0.6654,=32.5763,=22.2851,=20.5687
2025-04-01,=3348.4400,=64257841705541.0625,=49775965311895,=22569038642360.0938,=24.4874,=0.6634,=32.5834,=22.2851,=20.5687
2025-03-31,=3335.7500,=64095228778031.5078,=49600404870138,=22468006799451.5039,=24.2237,=0.6547,=32.6204,=22.2851,=20.5687
2025-03-28,=3351.3100,=64222267107435.7188,=49823667468532,=22599799658461.8711,=23.9684,=0.6442,=32.6446,=22.2868,=20.5687
2025-03-27,=3373.7500,=64680431574045.4531,=50154325875715,=22750911297049.1094,=24.2209,=0.6539,=32.6446,=22.2851,=20.5687
2025-03-26,=3368.7000,=64515708820308.2813,=50083686539816,=22707559080736.0391,=24.2958,=0.6572,=32.6583,=22.2851,=20.5687
2025-03-25,=3369.9800,=64572447332957.6719,=50109231064900,=22735588193492.8164,=24.2550,=0.6551,=32.6674,=22.2851,=20.5687
2025-03-24,=3370.0300,=64534642858524.9375,=50082793838143,=22764813169540.1250,=24.2033,=0.6535,=32.6690,=22.2851,=20.5687
2025-03-21,=3364.8300,=64396336464686.2813,=49976015144049,=22736735866296.2031,=24.2674,=0.6549,=32.6799,=22.2868,=20.5687
2025-03-20,=3408.9500,=65140945415605.0391,=50618805627205,=23073251652980.1406,=24.4948,=0.6605,=32.6799,=22.2851,=20.5687
2025-03-19,=3426.4300,=65465258081407.1719,=50874806515038,=23203016591737.9297,=24.5215,=0.6613,=32.6833,=22.2851,=20.5687
2025-03-18,=3429.7600,=65482942219498.5625,=50911545961525,=23225947638281.1367,=24.5777,=0.6621,=32.6871,=22.2851,=20.5687
2025-03-17,=3426.1300,=65421244340853.1016,=50858512424713,=23175071725073.0352,=24.5047,=0.6605,=32.6891,=22.2851,=20.5687
2025-03-14,=3419.5600,=65147052663630.7266,=50641112361868,=23148424617595.1133,=24.3817,=0.6582,=32.7043,=22.2868,=20.5687
2025-03-13,=3358.7300,=64060486326861.7266,=49737887696148,=22693096690160.0156,=24.0237,=0.6461,=32.7043,=22.2851,=20.5687
2025-03-12,=3371.9200,=64252996138427.3828,=49900249884255,=22821198358756.3867,=24.0955,=0.6498,=32.7165,=22.2851,=20.5687
2025-03-11,=3379.8300,=64430596664024.2031,=50014993826283,=22851803466375.5195,=24.0275,=0.6465,=32.7182,=22.2851,=20.5687
2025-03-10,=3366.1600,=64163007481747.8438,=49791435990484,=22756231959898.5664,=23.9303,=0.6428,=32.7243,=22.2851,=20.5687
2025-03-07,=3372.5500,=64356539981531.1172,=49895873391081,=22787191723034.8594,=23.8328,=0.6380,=32.7390,=22.2868,=20.5687
2025-03-06,=3381.1000,=64511577799794.9375,=49998146806363,=22843927234326.6953,=23.8761,=0.6399,=32.7390,=22.2851,=20.5687
2025-03-05,=3341.9600,=63898356583664.4063,=49450255551955,=22535142299189.2461,=23.6770,=0.6321,=32.7623,=22.2851,=20.5687
2025-03-04,=3324.2100,=63481103208525.9063,=49181602942614,=22429244211996.2109,=23.6648,=0.6313,=32.7689,=22.2851,=20.5687
2025-03-03,=3316.9300,=63420189352953.6797,=49100953117991,=22324895793172.7852,=23.4938,=0.6235,=32.8013,=22.2851,=20.5687
2025-02-28,=3320.9000,=63534090764064.1875,=49127291133498,=22338224900072.1172,=23.4277,=0.6199,=32.8207,=22.2868,=20.5687
2025-02-27,=3388.0600,=64696061011740.9688,=50079032891930,=22827172988818.9297,=23.8416,=0.6366,=32.8207,=22.2851,=20.5687
2025-02-26,=3380.2100,=64543134756954.0469,=49958479072801,=22796498099781.2695,=23.7927,=0.6346,=32.8227,=22.2851,=20.5687
2025-02-25,=3346.0400,=63953919977022.3438,=49480194331326,=22536892049186.9219,=23.4878,=0.6226,=32.8366,=22.2851,=20.5687
2025-02-24,=3373.0300,=64524228763868.0234,=49910797296806,=22721878778517.3633,=23.6842,=0.6305,=32.8423,=22.2851,=20.5687
2025-02-21,=3379.1100,=64733993821125.9375,=49989903569524,=22756781355176.5117,=23.6431,=0.6291,=32.8423,=22.2850,=20.5687
2025-02-20,=3350.7800,=64190977912133.1563,=49638826494657,=22528523838237.0195,=23.5956,=0.6264,=32.8423,=22.2849,=20.5687
2025-02-19,=3351.5400,=64265556695445.7891,=49202180744760,=22532490913100.0313,=23.5104,=0.6246,=32.8602,=22.2848,=20.5685
2025-02-18,=3324.4900,=63828813109200.3516,=48824294164314,=22284119362769.5898,=23.2683,=0.6158,=32.8602,=22.2848,=20.5685
2025-02-17,=3355.8300,=64340854453370.5000,=49267521880101,=22551286330841,=23.5750,=0.6256,=32.8602,=22.2844,=20.5685
2025-02-14,=3346.7200,=64181984330823.4609,=49162573149664,=22496962911220.4648,=23.4652,=0.6212,=32.8608,=22.2848,=20.5685
2025-02-13,=3332.4800,=63894017233363.2109,=48953134376645,=22386515208823.8086,=23.4296,=0.6210,=32.8608,=22.2844,=20.5685
