日期,收盘点位,市值(元),流通市值(元),自由流通市值(元),PE-TTM正数等权,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2006-06-29,=1671.6200,=3349067457078.5000,=1020670479954,=943226500526.4749,=31.0713,=0.1861,=53.9764,=42.2112,=32.5929
2006-06-28,=1639.2900,=3284893724300.6011,=1000393196229,=924673330371.3344,=30.4672,=0.1811,=53.9764,=42.2112,=32.6188
2006-06-27,=1639.5500,=3287294874817.6987,=1000639680884,=925264082907.0742,=30.4407,=0.1803,=53.9764,=42.2112,=32.6204
2006-06-26,=1633.4500,=3266700110195.2983,=998362769294,=923680748792.9568,=30.3368,=0.1786,=53.9764,=42.2112,=32.6268
2006-06-23,=1605.7100,=3211705530447.0024,=981838936635,=909845867585.3370,=29.7956,=0.1752,=53.9764,=42.2103,=32.6268
2006-06-22,=1596.0700,=3199834399651.0996,=974502220115,=903063220222.1824,=29.5056,=0.1728,=53.9764,=42.2112,=32.7308
2006-06-21,=1598.1200,=3207298186703.8984,=974202292747,=903626475287.6124,=29.5882,=0.1732,=53.9764,=42.2112,=32.7417
2006-06-20,=1592.3300,=3191083495020.8042,=976824530378,=906289961005.2904,=29.7091,=0.1741,=53.9764,=42.2112,=32.7533
2006-06-19,=1586.2900,=3182341707856.7051,=970670095551,=901434015521.6752,=29.5213,=0.1728,=53.9764,=42.2112,=32.7558
2006-06-16,=1574.4700,=3161783301998.9014,=959596261556,=892288737931.6942,=29.1902,=0.1686,=53.9764,=42.2103,=32.7558
2006-06-15,=1533.9800,=3078238705347.8965,=937682646806,=872070913506.5151,=28.5504,=0.1558,=53.9764,=42.2112,=32.7928
2006-06-14,=1531.3300,=3075330871919.0015,=935700913872,=870453710966.3575,=28.5358,=0.1554,=53.9764,=42.2112,=32.7928
2006-06-13,=1548.4900,=3117222861399.6001,=944259645349,=879088604598.3442,=28.8037,=0.1616,=53.9764,=42.2112,=32.7928
2006-06-12,=1552.8000,=3130295337705.1963,=941537895669,=877316050345.6718,=28.6686,=0.1583,=53.9764,=42.2112,=32.7928
2006-06-09,=1551.3800,=3129440837082.8003,=937819211600,=874960042968.8063,=28.6259,=0.1570,=53.9764,=42.2103,=32.7558
