日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PE-TTM正数等权,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2020-11-13,=3338.3100,=4858.1400,=20354720572165.7031,=15411087587615,=6783435698072.9482,=13.0982,=0.7027,=13.8017,=11.8006,=10.6857
2020-11-12,=3397.3500,=4944.0700,=20671144166104.1016,=15653929320136,=6903849035673.8174,=13.3120,=0.7257,=13.8068,=11.8006,=10.6857
2020-11-11,=3411.2300,=4964.2600,=20792338798885.5430,=15740932523289,=6935398396478.4580,=13.4274,=0.7455,=13.8069,=11.8006,=10.6857
2020-11-10,=3416.1400,=4971.4100,=20778378554609.1602,=15716206096253,=6943378091544.6484,=13.3377,=0.7286,=13.8072,=11.8006,=10.6857
2020-11-09,=3418.2800,=4974.5200,=20765567979683.5430,=15727885801391,=6940609484427.2803,=13.3413,=0.7290,=13.8108,=11.8006,=10.6857
2020-11-06,=3359.1200,=4888.4300,=20431592781584.1641,=15484222935256,=6820682510885.2900,=13.1997,=0.7126,=13.8146,=11.8006,=10.6857
2020-11-05,=3369.5000,=4903.5400,=20478016266447.6133,=15535597937126,=6842735041537.5996,=13.1579,=0.7081,=13.8155,=11.8006,=10.6857
2020-11-04,=3332.1900,=4849.2400,=20323620783079.7109,=15414039209926,=6771239887229.0791,=13.0533,=0.6945,=13.8200,=11.8006,=10.6857
2020-11-03,=3307.4800,=4813.2800,=20275588356717.5117,=15368294811876,=6713180430394.6494,=12.9796,=0.6809,=13.8201,=11.8006,=10.6857
2020-11-02,=3265.9000,=4752.7600,=20035917221927.4023,=15194710698293,=6628349046049.7197,=12.8590,=0.6653,=13.8215,=11.8006,=10.6857
2020-10-30,=3280.3800,=4773.8500,=20110772726337.0781,=15181847866301,=6644014313699.7881,=12.7332,=0.6484,=13.8225,=11.8006,=10.6857
2020-10-29,=3324.4400,=4837.9600,=20329218993102.0195,=15343661834311,=6720612744258.0371,=12.7288,=0.6472,=13.8257,=11.8006,=10.6857
2020-10-28,=3313.2300,=4821.6500,=20355956002997.8398,=15340558374531,=6695454613447.3242,=13.0623,=0.6941,=13.8328,=11.8006,=10.6857
2020-10-27,=3294.0900,=4793.7900,=20320401583155.0273,=15285410206327,=6658498051295.4551,=13.1374,=0.7031,=13.8331,=11.8006,=10.6857
2020-10-26,=3304.7000,=4809.2400,=20341666048034.4414,=15307731150585,=6678890520635.0889,=13.1855,=0.7072,=13.8358,=11.8006,=10.6857
2020-10-23,=3346.6100,=4869.8700,=20590498506987.8359,=15501508631655,=6743883669092.3857,=13.3082,=0.7208,=13.8374,=11.8006,=10.6857
2020-10-22,=3369.5300,=4902.5400,=20707810583453.1328,=15606403226351,=6787992141093.6758,=13.3054,=0.7200,=13.8392,=11.8006,=10.6857
2020-10-21,=3377.4200,=4914.0200,=20778445980969.6563,=15652725300281,=6800290255634.1475,=13.3580,=0.7257,=13.8395,=11.8006,=10.6857
2020-10-20,=3363.5000,=4893.7700,=20627750872185.8984,=15538008528143,=6767176301663.8750,=13.2448,=0.7126,=13.8400,=11.8006,=10.6857
2020-10-19,=3354.3100,=4880.3900,=20636612074550.6602,=15518281065053,=6748024692916.0156,=13.2849,=0.7171,=13.8439,=11.8006,=10.6857
2020-10-16,=3380.1700,=4918.0100,=20706521002568.3203,=15580166909076,=6795522722167.0771,=13.3173,=0.7208,=13.8525,=11.8006,=10.6857
2020-10-15,=3371.4000,=4905.2600,=20591947225915.2383,=15501259697901,=6773854658215.6699,=13.2430,=0.7118,=13.8583,=11.8006,=10.6857
2020-10-14,=3369.5000,=4902.4900,=20536942799037.2617,=15464129120265,=6762875459851.3750,=13.1961,=0.7081,=13.8593,=11.8006,=10.6857
2020-10-13,=3386.8900,=4927.8000,=20632856544984.6484,=15537772424723,=6795445520481.6592,=13.2496,=0.7122,=13.8593,=11.8006,=10.6857
2020-10-12,=3387.8800,=4929.2400,=20673836214595.4648,=15564818622005,=6796765643435.7139,=13.2714,=0.7146,=13.8642,=11.8006,=10.6857
2020-10-09,=3286.8600,=4782.2500,=20153629874333.3867,=15170325143164,=6593096839071.5088,=12.9728,=0.6789,=13.8652,=11.8006,=10.6857
2020-09-30,=3232.4200,=4703.0400,=19926351707223.4023,=14997049258560,=6487066398823.9805,=12.8376,=0.6626,=13.8670,=11.8008,=10.6858
2020-09-29,=3241.3200,=4716,=19984457714235.3984,=15029595911545,=6503403581309.0488,=12.8733,=0.6642,=13.8672,=11.8008,=10.6858
2020-09-28,=3250.5000,=4729.3500,=20050960962161.3984,=15084901445860,=6525400843312.3945,=12.9191,=0.6704,=13.8682,=11.8008,=10.6858
2020-09-25,=3229.7800,=4699.2000,=19927635672358.4023,=14974658642551,=6484173774859.9951,=12.8662,=0.6638,=13.8712,=11.8008,=10.6858
2020-09-24,=3218.7200,=4683.1100,=19899064295873.0938,=14948131225592,=6463830023901.8936,=12.8832,=0.6653,=13.8754,=11.8006,=10.6857
2020-09-23,=3275.7400,=4766.0700,=20138501474453.3984,=15136172346671,=6576319768580.3467,=13.0505,=0.6894,=13.8754,=11.7976,=10.6857
2020-09-22,=3270.5200,=4758.4800,=20163516711882.2969,=15145859551537,=6568307921508.7080,=13.0841,=0.6951,=13.8754,=11.7947,=10.6857
2020-09-21,=3311.5900,=4817.6000,=20397303883457,=15310039315728,=6651622475562.3447,=13.2489,=0.7091,=13.8759,=11.7947,=10.6857
2020-09-18,=3347.7800,=4870.2400,=20602197516578.3008,=15466391213242,=6722987867779.0078,=13.3378,=0.7177,=13.8766,=11.7947,=10.6857
2020-09-17,=3264.6900,=4749.3600,=20078750859538.1953,=15093094200358,=6559628009145.8828,=13.0266,=0.6856,=13.8806,=11.7947,=10.6857
2020-09-16,=3295.5800,=4794.3100,=20245395109979.9961,=15232918911776,=6620774100671.9092,=13.0783,=0.6938,=13.8823,=11.7947,=10.6857
2020-09-15,=3317.6400,=4820.0100,=20329919751774.1992,=15302818343803,=6661532547599.1113,=13.0593,=0.6909,=13.8837,=11.7947,=10.6857
2020-09-14,=3294.1500,=4785.8900,=20248928941512.3945,=15241102842313,=6615324488433.9180,=13.0147,=0.6848,=13.8857,=11.7947,=10.6857
2020-09-11,=3265.5000,=4744.2600,=20135048185143.8945,=15146186274520,=6559573521373.1396,=12.9823,=0.6778,=13.8874,=11.7947,=10.6857
