日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PE-TTM中位数,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2024-11-11,=4131.1300,=5913.9300,=57636208955991.2109,=43354200309634,=20301557430591.8750,=23.3607,=0.3897,=29.0416,=25.2266,=21.0549
2024-11-08,=4104.0500,=5875.0500,=57622806337756.8047,=43288863023654,=20168545957612.5781,=22.9459,=0.3538,=29.0416,=25.2283,=21.0549
2024-11-07,=4145.7000,=5934.5800,=58187919869593.6563,=43695753217002,=20367800966778.4805,=23.2335,=0.3790,=29.0416,=25.2301,=21.0549
2024-11-06,=4024.2800,=5759.5500,=56627627435726.2031,=42483153226890,=19772299433063.9258,=22.3087,=0.3074,=29.0416,=25.2301,=21.0549
2024-11-05,=4044.5700,=5788.2200,=56956256030027.0156,=42694870303372,=19875619795847.1953,=22.3129,=0.3078,=29.0416,=25.2301,=21.0549
2024-11-04,=3944.7600,=5645.3800,=55785705580586.8906,=41785552311871,=19390810724301.3477,=21.6997,=0.2568,=29.0416,=25.2301,=21.0549
2024-11-01,=3890.0200,=5567.0400,=55258531610790.6406,=41347049595067,=19119735896452.2656,=21.4787,=0.2369,=29.0416,=25.2309,=21.0549
2024-10-31,=3891.0400,=5567.9900,=55024693015138.3750,=41200032744265,=19121881053749.5508,=21.3862,=0.2300,=29.0416,=25.2318,=21.0549
2024-10-30,=3889.4500,=5565.4000,=55072150043213.3594,=41246090403326,=19093126905187.1172,=21.8707,=0.2765,=29.0416,=25.2318,=21.0549
2024-10-29,=3924.6500,=5615.2800,=55658378148573.5938,=41653159784084,=19241691082611.2266,=21.7322,=0.2593,=29.0416,=25.2318,=21.0549
2024-10-28,=3964.1600,=5671.8100,=56151464722291.1484,=42056448113618,=19425916639123.6250,=21.8563,=0.2745,=29.0416,=25.2327,=21.0549
2024-10-25,=3956.4200,=5660.7400,=56165643722240.7422,=42013277866102,=19391968782337.1953,=21.8848,=0.2760,=29.0416,=25.2323,=21.0549
2024-10-24,=3928.8300,=5620.8200,=56029290794780.7109,=41867257445142,=19260745067716.0352,=21.7051,=0.2564,=29.0416,=25.2327,=21.0549
2024-10-23,=3973.2100,=5683.9900,=56530647614421.5000,=42261537667559,=19472065032801.3164,=22.0475,=0.2856,=29.0416,=25.2327,=21.0549
2024-10-22,=3957.7800,=5661.6100,=56334351894418.2813,=42095281709325,=19391992102161.0625,=21.8243,=0.2695,=29.0416,=25.2327,=21.0549
2024-10-21,=3935.2000,=5629.2200,=56142349888666.5781,=41867918649331,=19279462195742.1211,=21.6462,=0.2519,=29.0416,=25.2419,=21.0549
2024-10-18,=3925.2300,=5614.7800,=56203371357673.7891,=41901923500141,=19231907767024.2695,=21.6407,=0.2505,=29.0416,=25.2517,=21.0549
2024-10-17,=3788.2200,=5414.9400,=54669994519895.7031,=40703825670092,=18568357327865.8359,=20.9407,=0.1889,=29.0416,=25.2538,=21.0549
2024-10-16,=3831.5900,=5476.9300,=55270278468621.4375,=41179042621711,=18786048560361.9648,=21.0090,=0.1959,=29.0416,=25.2558,=21.0555
