日期,收盘点位,全收益收盘点位(元),市值(元),流通市值(元),自由流通市值(元),PE-TTM中位数,PE-TTM 分位点,PE-TTM 80%分位点值,PE-TTM 50%分位点值,PE-TTM 20%分位点值
2020-05-13,=3968.2500,=5071.2300,=36940188986158.5859,=28122095115494,=13366324261511.3945,=23.7142,=0.5196,=27.9159,=23.5284,=20.5721
2020-05-12,=3960.2400,=5060.9400,=36868029810198.6953,=28071622273174,=13340207583462.7148,=23.9541,=0.5410,=27.9159,=23.5284,=20.5721
2020-05-11,=3960.1800,=5060.7500,=36923076992761.7031,=28099962998148,=13342158177818.8574,=23.9323,=0.5389,=27.9159,=23.5284,=20.5721
2020-05-08,=3963.6200,=5065.0300,=36905510525965.2266,=28086536420583,=13352820713292.5625,=24.0974,=0.5484,=27.9159,=23.5284,=20.5721
2020-05-07,=3924.8900,=5010.1500,=36592624455400.7266,=27840264754274,=13219888036426.9648,=23.7659,=0.5241,=27.9159,=23.5284,=20.5721
2020-05-06,=3936.2500,=5024.2900,=36715930822464.1172,=27922977912684,=13257856320585.4453,=23.8341,=0.5274,=27.9159,=23.5284,=20.5721
2020-04-30,=3912.5800,=4994.0700,=36613021655973.8203,=27821809315459,=13184566041255.9063,=23.6676,=0.5134,=27.9159,=23.5296,=20.5721
2020-04-29,=3867.0300,=4935.4300,=36219471326375.1797,=27546719214747,=13001479977548.3301,=21.6136,=0.3176,=27.9167,=23.5296,=20.5721
2020-04-28,=3849.1500,=4912.4100,=35996038286108,=27408210155571,=12908275165366.3945,=21.0328,=0.2530,=27.9325,=23.5311,=20.5721
2020-04-27,=3822.7700,=4878.7500,=35830587090588.1875,=27274449807510,=12768587763236.3691,=21.2212,=0.2744,=27.9332,=23.5335,=20.5721
2020-04-24,=3796.9700,=4845.7000,=35623628605490.7031,=27106821441776,=12623174851298.0176,=21.0835,=0.2579,=27.9391,=23.5363,=20.5721
2020-04-23,=3829.7500,=4887.2900,=35923028607159.7969,=27296306954896,=12699741498272.6191,=21.3838,=0.2912,=27.9403,=23.5407,=20.5721
2020-04-22,=3839.3800,=4899.5800,=35996363953753.9844,=27341992960334,=12730256200805.5137,=21.5267,=0.3060,=27.9471,=23.5438,=20.5721
2020-04-21,=3808.0500,=4859.5900,=35777222754666.8828,=27149961010694,=12561069884230.7305,=21.3985,=0.2937,=27.9565,=23.5453,=20.5721
2020-04-20,=3853.4600,=4917.5400,=36170219328366.3906,=27451781739976,=12694263306944.6367,=21.1306,=0.2661,=27.9623,=23.5487,=20.5721
2020-04-17,=3839.4900,=4899.7100,=36084903771946.7031,=27399222274479,=12638876263918.9668,=20.7014,=0.2123,=27.9739,=23.5516,=20.5721
2020-04-16,=3802.3800,=4852.3600,=35748222382408.4063,=27112451422693,=12504568479060.8359,=20.7325,=0.2164,=27.9754,=23.5528,=20.5721
2020-04-15,=3797.3600,=4845.9600,=35694717274979.6875,=27090129925280,=12489343303330.7070,=20.7162,=0.2131,=27.9764,=23.5534,=20.5721
2020-04-14,=3825.7000,=4882.1200,=35904600412404.9141,=27270373143445,=12582197953858.7305,=20.9522,=0.2423,=27.9766,=23.5549,=20.5721
2020-04-13,=3753.2600,=4789.6700,=35321140068504.2031,=26832573893552,=12341439967710.8789,=20.7010,=0.2118,=28.0049,=23.5577,=20.5721
2020-04-10,=3769.1800,=4809.9900,=35462747125159.2031,=26924452342122,=12391758873435.8496,=20.7214,=0.2127,=28.0146,=23.5624,=20.5721
2020-04-09,=3792.8100,=4840.1500,=35686268441275.6875,=27082913757364,=12470990823784.7559,=21.2213,=0.2711,=28.0156,=23.5662,=20.5721
2020-04-08,=3780.3400,=4824.2400,=35591356697086.2188,=27026092341813,=12431504141482.5547,=21.0555,=0.2517,=28.0203,=23.5675,=20.5721
2020-04-07,=3798.0200,=4846.8000,=35771822455626.2031,=27160768657417,=12490507000723.5332,=21.0990,=0.2579,=28.0245,=23.5723,=20.5721
2020-04-03,=3713.2200,=4738.5800,=35093498139433.7188,=26619590513636,=12208516759424.1973,=20.7432,=0.2172,=28.0320,=23.5776,=20.5721
2020-04-02,=3734.5300,=4765.7800,=35300611912149,=26772850759825,=12279261765906.3379,=20.6207,=0.2036,=28.0356,=23.5803,=20.5721
2020-04-01,=3675.0800,=4689.8300,=34764998472690.7891,=26349833830001,=12084771674987.3066,=19.8687,=0.1185,=28.0453,=23.5828,=20.5721
2020-03-31,=3686.1600,=4703.9700,=34896807896701.3984,=26455904221957,=12111561387097.5078,=19.6395,=0.0983,=28.0662,=23.5845,=20.5783
2020-03-30,=3674.1100,=4688.6000,=34865383060168.3086,=26412243131917,=12091783532885.8145,=19.9070,=0.1213,=28.0677,=23.5861,=20.5801
2020-03-27,=3710.0600,=4734.4800,=35130620224195.1172,=26586531895195,=12135503335765.9180,=20.4021,=0.1765,=28.0700,=23.5894,=20.5857
2020-03-26,=3698.0500,=4719.1500,=34997701176313.5898,=26480838218389,=12092453436297.4492,=20.3882,=0.1752,=28.0722,=23.5976,=20.6017
2020-03-25,=3722.5200,=4750.3800,=35199115795045.5938,=26625527944587,=12165121319159.6367,=20.5282,=0.1909,=28.0775,=23.6138,=20.6062
2020-03-24,=3625.1100,=4626.0800,=34382575007798.2891,=25982768318743,=11836984263006.4531,=20.1365,=0.1432,=28.0854,=23.6282,=20.6084
2020-03-23,=3530.3100,=4505.0900,=33501550913002.1094,=25323972952012,=11516659118825.1055,=19.6948,=0.1037,=28.0878,=23.6383,=20.6087
2020-03-20,=3653.2200,=4661.9500,=34576202801656.1133,=26118015113350,=11896448034850.5859,=21.0131,=0.2443,=28.0896,=23.6470,=20.6198
2020-03-19,=3589.0900,=4580.1100,=33986722760877.9844,=25647212682199,=11680367069188.8672,=20.7871,=0.2155,=28.0919,=23.6515,=20.6198
2020-03-18,=3636.2600,=4640.3000,=34496260705160.9883,=26035876236024,=11839626106188.2656,=20.8043,=0.2180,=28.1089,=23.6542,=20.6198
2020-03-17,=3709.6800,=4734,=35141450392084.2930,=26536749253908,=12058909764612.2656,=21.4898,=0.2916,=28.1105,=23.6555,=20.6198
2020-03-16,=3727.8400,=4757.1700,=35317780875890.5156,=26698221049208,=12114203114253.1035,=21.7016,=0.3184,=28.1130,=23.6599,=20.6198
2020-03-13,=3895.3100,=4970.8800,=36607076850926.2031,=27685113438083,=12657865714283.9961,=22.2105,=0.3538,=28.1177,=23.6687,=20.6198
2020-03-12,=3950.9100,=5041.8300,=37102266273801.3125,=28070754569465,=12838241505678.2266,=22.5314,=0.3875,=28.1202,=23.6736,=20.6198
2020-03-11,=4028.4300,=5140.7500,=37709043266243.8984,=28557395699473,=13085888377136.1621,=22.6865,=0.4002,=28.1276,=23.6761,=20.6198
2020-03-10,=4082.7300,=5210.0500,=38113278735567.2969,=28877729361078,=13261444693979.6641,=23.0424,=0.4344,=28.1340,=23.6794,=20.6198
2020-03-09,=3997.1300,=5100.8200,=37418170814113.9766,=28331189212447,=12982330239970.8418,=22.6077,=0.3916,=28.1377,=23.6823,=20.6198
2020-03-06,=4138.5100,=5281.2300,=38592896044705.0078,=29229786955208,=13439241353336.6719,=23.4223,=0.4735,=28.1393,=23.6869,=20.6198
2020-03-05,=4206.7300,=5368.2800,=39183824824523,=29671737798546,=13664173861789.4160,=23.7610,=0.5068,=28.1548,=23.6908,=20.6198
2020-03-04,=4115.0500,=5251.3000,=38391670313702.6016,=29081724269733,=13365156726208.3496,=23.2598,=0.4615,=28.1611,=23.6908,=20.6198
2020-03-03,=4091.3600,=5221.0600,=38191001089192.0859,=28931098876076,=13289239889712.5957,=23.2213,=0.4574,=28.1645,=23.6941,=20.6198
2020-03-02,=4069.6700,=5193.3800,=38005115674331.9219,=28775017699332,=13218462732860.1680,=23.1373,=0.4488,=28.1710,=23.6998,=20.6198
2020-02-28,=3940.0500,=5027.9700,=36910298021625.0234,=27914559339631,=12800891544147.1406,=22.2333,=0.3558,=28.1713,=23.7037,=20.6198
2020-02-27,=4084.8800,=5212.7900,=38190769358465.4063,=28844151232339,=13271124171553.8789,=23.1608,=0.4531,=28.1713,=23.7044,=20.6198
2020-02-26,=4073.0200,=5197.6500,=38140456205199.0156,=28768802564110,=13225922460589.5859,=22.9923,=0.4296,=28.1823,=23.7052,=20.6198
2020-02-25,=4123.8500,=5262.5300,=38478547369384.9063,=28983994568016,=13386599913392.5137,=23.1380,=0.4490,=28.1955,=23.7088,=20.6198
2020-02-24,=4132.8400,=5273.9900,=38653172066982.3984,=29107703144063,=13416559735027.0059,=23.6641,=0.4947,=28.1987,=23.7097,=20.6198
2020-02-21,=4149.4900,=5295.2400,=38848633649281.9922,=29291157078254,=13471582596150.8125,=23.5290,=0.4813,=28.2017,=23.7214,=20.6198
2020-02-20,=4144.6600,=5289.0700,=38794517022180.6328,=29275792714246,=13457018893313.1074,=23.1256,=0.4465,=28.2017,=23.7245,=20.6198
2020-02-19,=4051.3100,=5169.9500,=38038881307706.2031,=28705813989250,=13157430147132.4863,=22.8154,=0.4121,=28.2017,=23.7266,=20.6198
2020-02-18,=4057.5100,=5177.8700,=38073194380100.9141,=28722564939166,=13179132179210.5313,=22.7240,=0.4012,=28.2017,=23.7286,=20.6198
2020-02-17,=4077.4200,=5203.2800,=38269647512628.7891,=28873856615037,=13245432398734.6270,=22.4880,=0.3828,=28.2129,=23.7315,=20.6087
2020-02-14,=3987.7300,=5088.8200,=37456372251551.0156,=28254138798505,=12953325214617.6699,=21.7830,=0.3223,=28.2129,=23.7345,=20.6087
2020-02-13,=3959.9200,=5053.3300,=37235907712835.1797,=28078333387374,=12862953647727.7363,=21.6497,=0.3118,=28.2129,=23.7351,=20.6087
2020-02-12,=3984.4300,=5084.6100,=37467702083936.4922,=28249990197380,=12943521725489.7598,=21.8493,=0.3299,=28.2134,=23.7361,=20.6087
2020-02-11,=3952.4600,=5043.8100,=37215895955667.2031,=28057645474450,=12839931953051.2422,=21.4919,=0.2924,=28.2163,=23.7405,=20.6087
2020-02-10,=3916.0100,=4997.2900,=36904177265023.6875,=27805225039628,=12723436452949.7578,=21.4875,=0.2920,=28.2378,=23.7498,=20.6087
2020-02-07,=3899.8700,=4976.7000,=36784256846031.7891,=27713579025305,=12673673566524.2695,=21.6639,=0.3120,=28.2739,=23.7560,=20.6087
2020-02-06,=3899.7800,=4976.5800,=36824081272401.7031,=27737842138469,=12673735771188.3809,=21.0689,=0.2478,=28.2739,=23.7597,=20.6087
2020-02-05,=3828.5300,=4885.6600,=36251821625844.9063,=27302744395277,=12443385818906.4414,=20.2661,=0.1592,=28.2782,=23.7694,=20.6087
2020-02-04,=3785.6400,=4830.9200,=35899056643520.9922,=27036945301184,=12306932332312.6641,=20.0625,=0.1357,=28.2841,=23.7883,=20.6198
2020-02-03,=3688.3600,=4706.7800,=35087775652546.3906,=26432817729586,=11995687627122.8203,=20.0252,=0.1311,=28.3045,=23.8025,=20.6235
2020-01-23,=4003.9000,=5109.4500,=37991300964346.2969,=28592189753220,=13014032965814.6426,=21.9156,=0.3291,=28.3369,=23.8203,=20.6514
2020-01-22,=4131.9300,=5272.8400,=39025078382090.9063,=29241067420108,=13427138823818.5781,=22.9147,=0.4171,=28.3430,=23.8211,=20.6514
2020-01-21,=4114.3100,=5250.3500,=38855855474400.3984,=29149355871174,=13370441918609.0059,=22.7882,=0.4023,=28.3437,=23.8303,=20.6514
2020-01-20,=4185.8300,=5341.6200,=39475338445949.2031,=29605618034662,=13600824751113.0508,=23.4600,=0.4657,=28.3466,=23.8394,=20.6514
2020-01-17,=4154.8500,=5302.0900,=39202490707825.4844,=29363548029059,=13498985807668.4512,=23.1311,=0.4400,=28.3543,=23.8404,=20.6514
2020-01-16,=4149.0400,=5294.6700,=39170754896275.3984,=29346434506766,=13480725675485.0293,=23.4093,=0.4624,=28.3543,=23.8438,=20.6514
2020-01-15,=4166.7300,=5317.2500,=39393995039520.8984,=29505168890501,=13537439053929.6875,=23.4970,=0.4694,=28.3712,=23.8484,=20.6514
2020-01-14,=4189.8900,=5346.7900,=39627774418017.0078,=29684395432546,=13616299984520.3145,=23.7553,=0.4936,=28.3751,=23.8522,=20.6514
2020-01-13,=4203.9900,=5364.7900,=39750296906035.0938,=29786797288477,=13662664321014.8105,=23.5532,=0.4763,=28.3815,=23.8576,=20.6514
2020-01-10,=4163.1800,=5312.7200,=39426640096908.5000,=29550336858448,=13533273564280.5215,=23.5437,=0.4741,=28.3861,=23.8608,=20.6514
2020-01-09,=4164.3700,=5314.2300,=39443016734259.5078,=29557862830497,=13536850283891.2734,=23.6239,=0.4817,=28.3861,=23.8609,=20.6514
2020-01-08,=4112.3200,=5247.8100,=39074164176339.2031,=29277491317292,=13369561475690.6641,=23.5467,=0.4747,=28.3881,=23.8628,=20.6514
2020-01-07,=4160.2300,=5308.9400,=39545073314818.0938,=29603595176318,=13527591059226.4707,=23.9738,=0.5093,=28.3885,=23.8664,=20.6514
2020-01-06,=4129.3000,=5269.4700,=39309633141886.9922,=29418993554052,=13428927159807.9473,=23.8836,=0.5027,=28.3897,=23.8664,=20.6514
2020-01-03,=4144.9600,=5289.4700,=39426204779464.8906,=29477391437397,=13478118873240.7246,=23.5814,=0.4786,=28.3931,=23.8681,=20.6514
2020-01-02,=4152.2400,=5298.7500,=39468735954794.7188,=29520142779884,=13498200249852.6621,=23.0400,=0.4262,=28.3931,=23.8700,=20.6514
2019-12-31,=4096.5800,=5227.7300,=38978594115146.2969,=29170766195550,=13313893394241.2188,=22.8176,=0.4064,=28.3996,=23.8741,=20.6514
2019-12-30,=4081.6300,=5208.6500,=38869124628773.7031,=29084115039903,=13255553963618.8594,=22.8234,=0.4064,=28.4047,=23.8784,=20.6514
2019-12-27,=4022.0300,=5132.5900,=38381661255928.4063,=28696188160280,=13065490703981.5078,=22.2538,=0.3524,=28.4070,=23.8827,=20.6514
2019-12-26,=4025.9900,=5137.6400,=38387946435363.0781,=28653228786582,=13082219806991.5840,=22.4942,=0.3789,=28.4070,=23.8828,=20.6514
2019-12-25,=3990.8700,=5092.8200,=38054019876195.1094,=28410345851895,=12965868415997.0430,=22.1576,=0.3427,=28.4073,=23.8850,=20.6514
2019-12-24,=3992.9600,=5095.4900,=38082334866638.6953,=28441358944366,=12973222520342.3809,=22.2040,=0.3476,=28.4090,=23.8875,=20.6514
2019-12-23,=3967.1000,=5062.4900,=37882369214515.6875,=28255137791345,=12887323637979.2930,=21.7845,=0.3192,=28.4132,=23.8888,=20.6514
2019-12-20,=4017.2500,=5126.4900,=38383638608422.7969,=28594758438737,=13047568488299.5605,=22.1728,=0.3442,=28.4392,=23.8904,=20.6514
2019-12-19,=4027.1500,=5139.1200,=38464190767219.1172,=28663369946047,=13080485074569.3340,=22.1686,=0.3435,=28.4392,=23.8939,=20.6514
2019-12-18,=4032.7800,=5146.3000,=38495971217053.6953,=28674651874978,=13101061749447.5605,=22.4078,=0.3669,=28.4416,=23.9032,=20.6514
2019-12-17,=4041.8000,=5157.7200,=38554316334299.0156,=28731197305468,=13126450018640.1406,=22.4678,=0.3723,=28.4454,=23.9110,=20.6514
2019-12-16,=3987.5500,=5088.4900,=38061856733586.5938,=28362563205397,=12951470864186.9980,=22.1044,=0.3402,=28.4596,=23.9157,=20.6514
2019-12-13,=3968.2200,=5063.8300,=37405956525168.9922,=28230405960369,=12836819708655.3984,=21.6449,=0.3067,=28.4625,=23.9186,=20.6514
2019-12-12,=3891.0200,=4965.0500,=36681823475167.1172,=27708391451041,=12586846309505.6777,=21.3753,=0.2781,=28.4625,=23.9320,=20.6514
2019-12-11,=3902.7500,=4980.0100,=36767535932756,=27794532537067,=12620747922422.4785,=21.3552,=0.2752,=28.4797,=23.9459,=20.6514
2019-12-10,=3900.3800,=4977,=36680217333091.0859,=27740976133667,=12608968682843.4434,=21.3528,=0.2744,=28.4814,=23.9463,=20.6514
2019-12-09,=3895.4500,=4970.7000,=36685719026225.9063,=27730282070707,=12594837497152.4570,=21.3895,=0.2793,=28.4815,=23.9489,=20.6514
2019-12-06,=3902.3900,=4979.4400,=36725585248658.5000,=27747184930055,=12617381958914.1133,=21.4410,=0.2845,=28.4892,=23.9627,=20.6514
2019-12-05,=3879.3600,=4950.0700,=36571073176859.3984,=27604383839227,=12544500099461.4336,=21.1519,=0.2579,=28.4892,=23.9646,=20.6514
2019-12-04,=3849.8200,=4912.3700,=36314218445191.8828,=27412053665711,=12448773871112.3008,=20.7261,=0.2094,=28.4895,=23.9702,=20.6514
2019-12-03,=3851.0900,=4913.9900,=36390219654594.2109,=27453813851293,=12453731795891.0059,=20.9292,=0.2312,=28.4948,=23.9745,=20.6514
2019-12-02,=3836.0600,=4894.8100,=36285622620997.3047,=27382922475504,=12404006783031.9414,=20.8793,=0.2250,=28.4975,=23.9798,=20.6514
2019-11-29,=3828.6700,=4885.3800,=36230428794694.9063,=27349515378533,=12378175567539.4258,=20.5479,=0.1920,=28.5108,=24.0068,=20.6514
2019-11-28,=3862.3000,=4928.3000,=36510390566504.0078,=27582791195315,=12486475971237.1172,=20.5783,=0.1954,=28.5108,=24.0104,=20.6535
2019-11-27,=3875.6200,=4945.2900,=36678250182955.3906,=27696169440833,=12528416471334.0605,=20.7620,=0.2110,=28.5142,=24.0202,=20.6605
2019-11-26,=3891.6500,=4965.7500,=36796828101746.9766,=27785630050779,=12577415007458.4609,=20.9139,=0.2279,=28.5428,=24.0277,=20.6605
2019-11-25,=3878.2100,=4948.5900,=36682775349398.8906,=27691034796164,=12536474136530.8906,=20.8503,=0.2201,=28.5492,=24.0293,=20.6605
2019-11-22,=3849.9900,=4912.5900,=36364015834770.5625,=27442119163521,=12447549808682.4668,=20.7275,=0.2085,=28.5548,=24.0317,=20.6605
2019-11-21,=3889.6000,=4963.1200,=36653421608465.5938,=27688060085310,=12573523501336.1309,=20.8882,=0.2242,=28.5548,=24.0393,=20.6605
2019-11-20,=3907.8600,=4986.4300,=36788935568900.9141,=27803686375916,=12631209519330.1465,=20.9435,=0.2299,=28.5765,=24.0488,=20.6605
2019-11-19,=3947.0400,=5036.4200,=37126537556903.7188,=28035269670997,=12760638779431.9453,=21.2032,=0.2571,=28.5801,=24.0599,=20.6605
2019-11-18,=3907.9300,=4986.1700,=36839600338860.2109,=27811130297749,=12635260010050.2949,=21.0988,=0.2460,=28.5902,=24.0697,=20.6605
2019-11-15,=3877.0900,=4946.8200,=36589754901555.5938,=27503425074163,=12534571003914.7188,=20.9200,=0.2266,=28.5956,=24.0745,=20.6605
2019-11-14,=3905.8600,=4983.5200,=36804380770924.7031,=27662331331380,=12622751060329.4609,=20.9890,=0.2349,=28.5956,=24.0765,=20.6605
2019-11-13,=3899.9800,=4976.0300,=36800883879584.8281,=27654390609653,=12603509555716.8496,=20.9499,=0.2299,=28.5975,=24.0845,=20.6605
2019-11-12,=3903.6900,=4980.7600,=36919161404261.1172,=27711957644550,=12615302887355.1309,=20.9804,=0.2332,=28.5975,=24.0950,=20.6605
2019-11-11,=3902.9800,=4979.7700,=36872925763262.9063,=27690191884669,=12614464116593.9336,=20.8507,=0.2197,=28.5979,=24.1035,=20.6605
2019-11-08,=3973.0100,=5069.1200,=37493981404985,=28154950901571,=12838385287355.2773,=21.4114,=0.2743,=28.6049,=24.1096,=20.6605
2019-11-07,=3991.8700,=5093.1900,=37707141403420.1172,=28303331423372,=12902209461293.0195,=20.9420,=0.2283,=28.6049,=24.1138,=20.6605
2019-11-06,=3984.8800,=5084.2700,=37711053171998.2891,=28293993304811,=12879372176916.3652,=20.8859,=0.2230,=28.6220,=24.1213,=20.6605
2019-11-05,=4002.8100,=5107.1500,=37818108002164.3984,=28389462987363,=12933335344018.8320,=21.2835,=0.2575,=28.6220,=24.1252,=20.6605
2019-11-04,=3978.1200,=5075.6500,=37579860195032.3203,=28220560841660,=12855111502725.7891,=21.2731,=0.2567,=28.6230,=24.1336,=20.6605
2019-11-01,=3952.3900,=5042.8100,=37338730142327.0078,=28044976700143,=12766502551559.1348,=20.8104,=0.2150,=28.6259,=24.1577,=20.6605
2019-10-31,=3886.7500,=4959.0700,=36890485491478.5938,=27680786496925,=12555107585690.7383,=20.7330,=0.2086,=28.6259,=24.1604,=20.6605
2019-10-30,=3891.2300,=4964.7800,=36965472735569.8906,=27715298944533,=12511672829991.9863,=20.4998,=0.1843,=28.6366,=24.1659,=20.6605
2019-10-29,=3910.2300,=4989.0200,=37069435248480.5234,=27807139300723,=12484304485784.9316,=21.3673,=0.2653,=28.6381,=24.1701,=20.6661
2019-10-28,=3926.5900,=5009.8900,=37282582339290.2891,=27936571067073,=12519838604655.8730,=21.7527,=0.3023,=28.6383,=24.1729,=20.6661
2019-10-25,=3896.7900,=4971.8800,=37073521447698.7266,=27736120180496,=12419341281484.4297,=21.3251,=0.2599,=28.6499,=24.1874,=20.6661
2019-10-24,=3870.6700,=4938.2500,=36868553378547.2969,=27557442609436,=12314979357901.4004,=20.9036,=0.2238,=28.6499,=24.1966,=20.6661
2019-10-23,=3871.0800,=4938.7800,=36857008986381.1172,=27555685630680,=12310348054436.0176,=21.4346,=0.2715,=28.6540,=24.2072,=20.6661
2019-10-22,=3895.8800,=4970.4100,=36998447613945.5938,=27679419727657,=12386295693920.9492,=21.5619,=0.2814,=28.6686,=24.2100,=20.6661
2019-10-21,=3880.8400,=4951.2200,=36884199253870.1953,=27591091198738,=12319467572126.0996,=21.1798,=0.2509,=28.6689,=24.2125,=20.6661
2019-10-18,=3869.3800,=4936.5400,=36693154379506.9063,=27442162540559,=12284471194449.6895,=21.3802,=0.2656,=28.6848,=24.2149,=20.6661
2019-10-17,=3925.2200,=5007.7900,=37155515674318.6953,=27795907950098,=12462643325502.2773,=21.8278,=0.3060,=28.6848,=24.2210,=20.6661
2019-10-16,=3922.6900,=5004.5500,=37127678409715.3828,=27740081092347,=12453217223963.5469,=21.8894,=0.3106,=28.6904,=24.2274,=20.6661
2019-10-15,=3936.2500,=5021.8600,=37258092741903.1094,=27829582935058,=12492718456849.6504,=22.1938,=0.3274,=28.6908,=24.2326,=20.6661
2019-10-14,=3953.2400,=5043.5300,=37396062540124.0938,=27909005600607,=12548432645644.2402,=22.3645,=0.3422,=28.6943,=24.2420,=20.6661
2019-10-11,=3911.7300,=4990.5700,=36989676126985.3047,=27621564227718,=12416851231084.5156,=22.3951,=0.3462,=28.7069,=24.2469,=20.6661
2019-10-10,=3874.6400,=4942.8100,=36602905747423.5078,=27341518331929,=12294387916414.0293,=21.8059,=0.3044,=28.7069,=24.2600,=20.6661
2019-10-09,=3843.2400,=4902.7600,=36371016481325.5078,=27176058013833,=12197931640710.1309,=21.6270,=0.2871,=28.7132,=24.2789,=20.6661
2019-10-08,=3837.6800,=4895.6700,=36270820776454.8984,=27127197007875,=12175276264137.8164,=21.2917,=0.2556,=28.7132,=24.2846,=20.6661
2019-09-30,=3814.5300,=4866.1300,=36092265078778.9063,=26972593499639,=12106103368251.3711,=21.5187,=0.2765,=28.7138,=24.2889,=20.6661
2019-09-27,=3852.6500,=4914.7700,=36413634969685.7891,=27173832925135,=12213946795812.7656,=21.6881,=0.2954,=28.7262,=24.2988,=20.6661
2019-09-26,=3841.1400,=4900.0800,=36356683949406.2813,=27138241112143,=12177811963568.5469,=21.6702,=0.2930,=28.7262,=24.3025,=20.6661
2019-09-25,=3870.9800,=4938.0500,=36541528154314.6094,=27262379123283,=12265404329671.3203,=22.3117,=0.3342,=28.7275,=24.3084,=20.6661
2019-09-24,=3901.0800,=4976.4400,=36817025457448.3125,=27532480814004,=12360693321492.1895,=22.6613,=0.3654,=28.7292,=24.3102,=20.6661
2019-09-23,=3890.6600,=4962.8800,=36750554434612.2188,=27472537152940,=12327429492204.1543,=22.4340,=0.3469,=28.7341,=24.3125,=20.6661
2019-09-20,=3935.6500,=5020.2700,=37149731017410.3125,=27768991808364,=12470089514923.1543,=22.9211,=0.3891,=28.7369,=24.3272,=20.6661
2019-09-19,=3924.3800,=5005.8900,=37044441598195.1016,=27671908408773,=12434151842884.6426,=22.8338,=0.3811,=28.7369,=24.3295,=20.6661
2019-09-18,=3910.0800,=4987.6500,=36913685503196.9141,=27588447192139,=12391010941183.1895,=22.7920,=0.3765,=28.7490,=24.3295,=20.6661
2019-09-17,=3891.2200,=4963.5900,=36796389931314.3125,=27463723104653,=12332694241282.7070,=22.7823,=0.3745,=28.7697,=24.3378,=20.6661
2019-09-16,=3957.7200,=5047.7800,=37402718023062.8828,=27903886917579,=12541814065267.5859,=23.3430,=0.4267,=28.7730,=24.3427,=20.6661
2019-09-12,=3972.3800,=5066.4800,=37452352495765.0938,=27912202868818,=12586969739166.0547,=23.3246,=0.4249,=28.7957,=24.3528,=20.6661
2019-09-11,=3930.1000,=5012.5600,=37141259474501.6016,=27672581778164,=12455391995679.9863,=23.3079,=0.4245,=28.7969,=24.3555,=20.6661
2019-09-10,=3959.2600,=5049.7600,=37295194504298.4297,=27836139998865,=12543004570670.9141,=23.1379,=0.4114,=28.7998,=24.3592,=20.6661
2019-09-09,=3972.9500,=5067.2100,=37395927724379.1953,=27927435267553,=12588884206512.4180,=22.9965,=0.3941,=28.8068,=24.3643,=20.6661
2019-09-06,=3948.5100,=5036.0400,=37202277031938.2188,=27782084777537,=12512727903132.7773,=22.8910,=0.3861,=28.8102,=24.3824,=20.6661
2019-09-05,=3925.3200,=5006.4700,=37008923397912.6172,=27637574235395,=12439664560779.0020,=23.0327,=0.3949,=28.8102,=24.3837,=20.6661
2019-09-04,=3886,=4956.3200,=36646411000692.7969,=27398029869900,=12313045295487.4668,=22.6089,=0.3599,=28.8129,=24.3897,=20.6661
2019-09-03,=3853.6100,=4911.8100,=36300801538116.3984,=27168507721710,=12208258876748.9941,=22.3456,=0.3373,=28.8191,=24.3971,=20.6661
2019-09-02,=3848.3200,=4905.0700,=36243271970634.6016,=27133877931186,=12192033282748.7734,=22.5816,=0.3575,=28.8202,=24.4004,=20.6661
2019-08-30,=3799.5900,=4842.9500,=35866373271115.1016,=26851915133751,=12010711240298.0137,=22.1302,=0.3203,=28.8238,=24.4084,=20.6661
2019-08-29,=3790.1900,=4830.9700,=35811743511390.1172,=26777583139612,=11959980341052.6934,=22.3698,=0.3394,=28.8238,=24.4105,=20.6661
2019-08-28,=3802.5800,=4846.7700,=35895613152348.6016,=26854110764052,=11995366230722.9531,=21.8106,=0.3032,=28.8348,=24.4196,=20.6661
2019-08-27,=3816.9500,=4865.0800,=36039011874408.1094,=26957204787411,=12035477504293.7266,=22.0917,=0.3192,=28.8426,=24.4291,=20.6661
2019-08-26,=3765.9100,=4799.7400,=35573079014800.6172,=26609316951449,=11874546222161.6543,=21.5103,=0.2752,=28.8487,=24.4351,=20.6661
2019-08-23,=3820.8600,=4869.4900,=36048204225137.5156,=26970821362953,=12046528723860.3281,=21.3954,=0.2669,=28.8608,=24.4475,=20.6661
2019-08-22,=3793.5100,=4834.6200,=35830072467472.5234,=26792650412006,=11956084156088.9531,=21.4179,=0.2686,=28.8608,=24.4483,=20.6661
2019-08-21,=3781.7600,=4818.9600,=35798157491017.5000,=26732467609740,=11920693295919.6211,=21.0950,=0.2402,=28.8800,=24.4573,=20.6661
2019-08-20,=3787.7300,=4826.4900,=35830013996178.9766,=26768269735080,=11924039958595.0352,=20.9826,=0.2304,=28.8887,=24.4740,=20.6661
2019-08-19,=3791.0900,=4830.7200,=35898024169089.2188,=26793153256784,=11909440896665.5488,=20.8865,=0.2217,=28.8942,=24.4824,=20.6661
2019-08-16,=3710.5400,=4727.7400,=35235679193677.0938,=26264560064320,=11664711447421.2754,=19.7955,=0.1102,=28.9077,=24.4931,=20.6661
2019-08-15,=3694,=4706.2400,=35139690636517,=26178092666798,=11613003973383.0508,=20.2412,=0.1538,=28.9077,=24.4977,=20.6750
